"Cmd.","Sub cmd.","Data","Description"
"1A","05,0197","00/01","Send/read the GPS (GSA) Sentence setting (00=OFF, 01=ON)"
"1A","05,0198","00/01","Send/read the GPS (VTG) Sentence setting (00=OFF, 01=ON)"
"1A","05,0199","00/01","Send/read the GPS (GSV) Sentence setting (00=OFF, 01=ON)"
"1A","05,0200","see p. 20-14","Send/read the GPS Message"
"1A","05,0201","see p. 20-13","Send/read the Unproto Address"
"1A","05,0202","00/01","Send/read the position data extension setting (00=OFF, 01=COURSE/SPEED)"
"1A","05,0203","00 to 02","Send/read the GPS-A Time Stamp setting (00=OFF, 01=DHM, 02=HMS)"
"1A","05,0204","00/01","Send/read the GPS-A altitude setting (00=OFF, 01=ON)"
"1A","05,0205","00 to 03","Send/read the GPS-A Symbol (00=No.1, 01=No.2, 02=No.3, 03=No.4)"
"1A","05,0206","see p. 20-13","Send/read the GPS-A Symbol No.1 setting"
"1A","05,0207","see p. 20-13","Send/read the GPS-A Symbol No.2 setting"
"1A","05,0208","see p. 20-13","Send/read the GPS-A Symbol No.3 setting"
"1A","05,0209","see p. 20-13","Send/read the GPS-A Symbol No.4 setting"
"1A","05,0210","00 to 42","Send/read the GPS-A SSID (00=---, 01=(-0), 02=-1 to 16=-15, 17=-A to 42=-Z)"
"1A","05,0211","see p. 20-14","Send/read the GPS-A comment"
"1A","05,0212","00 to 08","Send/read the GPS Auto TX interval setting (00=OFF, 01=5 sec, 02=10 sec, 03=30 sec, 04=1 min, 05=3 min, 06=5 min, 07=10 min, 08=30 min)"
"1A","05,0213","00/01","Send/read the QSO Log setting (00=OFF, 01=ON)"
"1A","05,0214","00/01","Send/read the RX History Log function setting (00=OFF, 01=ON)"
"1A","05,0215","00 to 02","Send/read the QSO/RX Log CSV format setting (Separator/Decimal) (00=Sep"",""Dec""."", 01=Sep"";""Dec""."", 02=Sep"";""Dec"","")"
"1A","05,0216","00 to 02","Send/read the QSO/RX Log CSV format setting (Date) (00=yyyy/mm/dd, 01=mm/dd/yyyy, 02=dd/mm/yyyy)"
"1A","05,0217","00/01","Send/read the Weather Alert setting (USA only) (00=OFF, 01=ON)"
"1A","05,0218","00 to 02","Send/read the Memory Name Display setting [English] (00=OFF, 01=ON) [Japanese] (00=OFF, 01=Normal, 02=Large)"
"1A","05,0219","00/01","Send/read the Display Type setting for the DR mode (00=Normal, 01=Large)"
"1A","05,0220","00 to 02","Send/read the Compass Direction setting (00=Heading Up, 01=North Up, 02=South Up)"
"1A","05,0221","00/01","Send/read command to disable/enable the antenna controller status output from [REMOTE] (00=Disable, 01=Enable)"
"1A","06","see p. 20-14","Send/read the DATA mode setting"
"1B","00","see p. 20-14","Send/read the Repeater tone frequency"
"1B","01","see p. 20-14","Send/read the Tone squelch frequency"
"1B","02","see p. 20-14","Send/read the DTCS code and polarity"
"1B","07","see p. 20-14","Send/read the CSQL code (DV mode)"
"1C","00","00","Send/read transceiver's status (RX)"
"1C","00","01","Send/read transceiver's status (TX)"
"1C","01","00","Send/read Antenna tuner OFF (through)"
"1C","01","01","Send/read Antenna tuner ON"
"1C","01","02","Send/read the Manual tuning selection"
"1C","02","00","Send/read Transmit frequency monitor check OFF"
"1C","02","01","Send/read Transmit frequency monitor check ON"
"1C","03","see p. 20-11","Read transmit frequency"
"1C","04","00","Send/read command to disable antenna controller status output from [REMOTE]"
"1C","04","01","Send/read command to enable antenna controller status output from [REMOTE]"
"1E","00","","Read number of available TX frequency band"
"1E","01","see p. 20-12","Read the TX band edge frequencies"
"1E","02","","Read number of User-set TX frequency band"
"1E","03","see p. 20-12","Send/read the User-set TX band edge frequencies"
"1F","00","see p. 20-14","Send/read the DV MY call sign"
"1F","01","see p. 20-14","Send/read the DV TX call signs"
"1F","02","see p. 20-14","Send/read the DV TX message"
"20","00","00","Send/read the Auto DV RX Call signs output setting (00=OFF, 01=ON)"
"20","00","01","see p. 20-15 Output the DV RX Call signs"
"20","00","02","see p. 20-15 Read the DV RX Call signs"
"20","01","00","Send/read the Auto DV RX message output setting (00=OFF, 01=ON)"
"20","01","01","see p. 20-15 Output the DV RX message"
"20","01","02","see p. 20-15 Read the DV RX message"
"20","02","00","Send/read the Auto DV RX status output setting (00=OFF, 01=ON)"
"20","02","01","see p. 20-15 Output the DV RX status"
"20","02","02","see p. 20-15 Read the DV RX status"
"21","00","see p. 20-17","Send/read RIT frequency"
"21","01","00","Send/read RIT setting OFF"
"21","01","01","Send/read RIT setting ON"
"25","","see p. 20-17","Send/read the selected or unselected VFO frequency"
"26","","see p. 20-17","Send/read the selected or unselected VFO's operating mode and filter"
