"Cmd.","Sub cmd.","Data","Description"
"16","12","02","Send/read AGC MID"
"16","12","03","Send/read AGC SLOW"
"16","22","00","Send/read Noise Blanker OFF"
"16","22","01","Send/read Noise Blanker ON"
"16","40","00","Send/read Noise Reduction OFF"
"16","40","01","Send/read Noise Reduction ON"
"16","41","00","Send/read Auto Notch function OFF"
"16","41","01","Send/read Auto Notch function ON"
"16","42","00","Send/read Repeater tone OFF"
"16","42","01","Send/read Repeater tone ON"
"16","43","00","Send/read Tone squelch OFF"
"16","43","01","Send/read Tone squelch ON"
"16","44","00","Send/read Speech compressor OFF"
"16","44","01","Send/read Speech compressor ON"
"16","45","00","Send/read Monitor function OFF"
"16","45","01","Send/read Monitor function ON"
"16","46","00","Send/read VOX function OFF"
"16","46","01","Send/read VOX function ON"
"16","47","00","Send/read BK-IN function OFF"
"16","47","01","Send/read Semi BK-IN function ON"
"16","47","02","Send/read Full BK-IN function ON"
"16","48","00","Send/read Manual notch function OFF"
"16","48","01","Send/read Manual notch function ON"
"16","4B","00","Send/read DTCS OFF"
"16","4B","01","Send/read DTCS ON"
"16","4C","00","Send/read VSC function OFF"
"16","4C","01","Send/read VSC function ON"
"16","4F","00","Send/read Twin Peak Filter OFF"
"16","4F","01","Send/read Twin Peak Filter ON"
"16","50","00","Send/read Dial lock function OFF"
"16","50","01","Send/read Dial lock function ON"
"16","56","00","Send/read DSP filter type SHARP"
"16","56","01","Send/read DSP filter type SOFT"
"16","57","00","Send/read manual notch width WIDE"
"16","57","01","Send/read manual notch width MID"
"16","57","02","Send/read manual notch width NAR"
"16","58","00","Send/read SSB transmit bandwidth WIDE"
"16","58","01","Send/read SSB transmit bandwidth MID"
"16","58","02","Send/read SSB transmit bandwidth NAR"
"16","5B","00","Send/read DSQL/CSQL OFF (DV mode only)"
"16","5B","01","Send/read DSQL ON (DV mode only)"
"16","5B","02","Send/read CSQL ON (DV mode only)"
"17","","see p. 20-11","Send CW messages"
"18","00","","Turn OFF the transceiver"
"18","01","","Turn ON the transceiver"
"19","00","","Read the transceiver ID"
"1A","00","see p. 20-16","Send/read the Memory channel contents"
"1A","01","see p. 20-12","Send/read the Band stacking register contents"
"1A","02","see p. 20-13","Send/read the Memory keyer contents"
"1A","03","00 to 49","Send/read the selected filter width (AM: 00=200 Hz to 49=10 kHz; other: 00=50 Hz to 40/31=3600/2700 Hz)"
"1A","04","00 to 13","Send/read the selected AGC time constant (00=OFF, AM: 01=0.3s to 13=8.0s, SSB/CW/RTTY: 01=0.1s to 13=6.0s)"
"1A","05,0001","00/01","Send/read the TX Monitor function setting (00=OFF, 01=ON)"
"1A","05,0002","0000 ~ 0255","Send/read the TX Monitor level (0000=0% to 0255=100%)"
"1A","05,0003","0000 ~ 0255","Send/read the Beep level (0000=0% to 0255=100%)"
"1A","05,0004","00/01","Send/read the Beep level limit setting (00=OFF, 01=ON)"
"1A","05,0005","00/01","Send/read the Confirmation beep setting (00=OFF, 01=ON)"
"1A","05,0006","00 to 03","Send/read the Band edge beep setting (00=OFF, 01=ON(Default), 02=ON(User), 03=ON(User & TX Limit))"
"1A","05,0007","00 to 02","Send/read the RF/SQL Control setting (00=Auto, 01=SQL, 02=RF+SQL)"
"1A","05,0008","00 to 05","Send/read the TX Delay setting (HF) (00=OFF, 01=10ms, 02=15ms, 03=20ms, 04=25ms, 05=30ms)"
"1A","05,0009","00 to 05","Send/read the TX Delay setting (50M) (00=OFF, 01=10ms, 02=15ms, 03=20ms, 04=25ms, 05=30ms)"
"1A","05,0010","00 to 05","Send/read the TX Delay setting (70M) (00=OFF, 01=10ms, 02=15ms, 03=20ms, 04=25ms, 05=30ms)"
"1A","05,0011","00 to 05","Send/read the TX Delay setting (144M) (00=OFF, 01=10ms, 02=15ms, 03=20ms, 04=25ms, 05=30ms)"
"1A","05,0012","00 to 05","Send/read the TX Delay setting (430M) (00=OFF, 01=10ms, 02=15ms, 03=20ms, 04=25ms, 05=30ms)"
