"Cmd.","Sub cmd.","Data","Description"
"00","","","p. 19-9 Send frequency data (transceive)"
"01","","","p. 19-9 Send mode data (transceive)"
"02","","","p. 19-9 Read band edge frequencies"
"03","","","p. 19-9 Read operating frequency"
"04","","","p. 19-9 Read operating mode"
"05","","","p. 19-9 Set operating frequency"
"06","","","p. 19-9 Operating mode selection for transceive"
"07","","","Select the VFO mode"
"07","00","","Select VFO A"
"07","01","","Select VFO B"
"07","A0","","Equalize VFO A and VFO B"
"07","B0","","Exchange VFO A and VFO B"
"08","","","Select the Memory mode"
"08","00","01 to 99","Select the Memory channel (00 01=M-CH01, 00 99=M-CH99)"
"08","01","00","Select program scan edge channel P1"
"08","01","01","Select program scan edge channel P2"
"09","","","Memory write"
"0A","","","Memory copy to VFO"
"0B","","","Memory clear"
"0E","00","","Scan stop"
"0E","01","","Programmed/memory scan start"
"0E","02","","Programmed scan start"
"0E","03","","F scan start"
"0E","12","","Fine programmed scan start"
"0E","13","","Fine ∂F scan start"
"0E","22","","Memory scan start"
"0E","23","","Select memory scan start"
"0E","A1","","Select ∂F scan span ±5 kHz"
"0E","A2","","Select ∂F scan span ±10 kHz"
"0E","A3","","Select ∂F scan span ±20 kHz"
"0E","A4","","Select ∂F scan span ±50 kHz"
"0E","A5","","Select ∂F scan span ±100 kHz"
"0E","A6","","Select ∂F scan span ±500 kHz"
"0E","A7","","Select ∂F scan span ±1 MHz"
"0E","B0","","Set as non-select channel"
"0E","B1","","Set as select channel (The previously set number by CI-V is set after turning power ON, or “1” is selected if no selection is performed.)"
"0E","B1","01 to 03","Set as select channel (01=SEL1, 02=SEL2, 03=SEL3)"
"0E","B2","00 to 03","Set for select memory scan (00=ALL, 01=SEL1, 02=SEL2, 03=SEL3)"
"0E","D0","","Set Scan resume OFF"
"0E","D3","","Set Scan resume ON"
"0F","","00/01","Read Split setting (00=OFF, 01=ON)"
"0F","","00","Turn the split function OFF"
"0F","","01","Turn the split function ON"
"10","00","","Send/read the tuning step OFF"
"10","01","","Send/read the 100 Hz tuning step"
"10","02","","Send/read the 1 kHz tuning step"
"10","03","","Send/read the 5 kHz tuning step"
"10","04","","Send/read the 9 kHz tuning step"
"10","05","","Send/read the 10 kHz tuning step"
"10","06","","Send/read the 12.5 kHz tuning step"
"10","07","","Send/read the 20 kHz tuning step"
"10","08","","Send/read the 25 kHz tuning step"
"11","","00/20","Send/read Attenuator (00=OFF, 20=20dB ON)"
"13","00","","Speech all data with voice synthesizer"
"13","01","","Speech the operating frequency and S meter level by voice synthesizer"
"13","02","","Speech the operating mode by voice synthesizer"
"14","01","00 00 to 02 55","Send/read the AF level (00 00=min. to 02 55=max.)"
"14","02","00 00 to 02 55","Send/read the RF gain level (00 00=min. to 02 55=max.)"
"14","03","00 00 to 02 55","Send/read the squelch level (00 00=min. to 02 55=max.)"
"14","06","00 00 to 02 55","Send/read the NR level (00 00=0% to 02 55=100%)"
"14","07","00 00 to 02 55","Send/read inner [TWIN PBT] position (00 00=max. CCW, 01 28=center, 02 55=max. CW)"
"14","08","00 00 to 02 55","Send/read outer [TWIN PBT] position (00 00=max. CCW, 01 28=center, 02 55=max. CW)"
"14","09","00 00 to 02 55","Send/read CW pitch (00 00=300 Hz, 01 28=600 Hz, 02 55=900 Hz; 5 Hz steps)"
"14","0A","00 00 to 02 55","Send/read [RF PWR] position (00 00=max. CCW, 02 55=max. CW)"
"14","0B","00 00 to 02 55","Send/read [MIC] position (00 00=max. CCW, 02 55=max. CW)"
"14","0C","00 00 to 02 55","Send/read [KEY SPEED] level (00 00=6wpm, 02 55=48wpm)"
"14","0D","00 00 to 02 55","Send/read [NOTCH] position (00 00=max. CCW, 01 28=center, 02 55=max. CW)"
"14","0E","00 00 to 02 55","Send/read the COMP level (00 00=0 to 02 55=10)"
"14","0F","00 00 to 02 55","Send/read the Break-IN Delay setting (00 00=2.0d to 02 55=13.0d)"
"14","12","00 00 to 02 55","Send/read NB level (00 00=0% to 02 55=100%)"
"14","15","00 00 to 02 55","Send/read the Monitor gain (00 00=0% to 02 55=100%)"
"14","16","00 00 to 02 55","Send/read the VOX gain (00 00=0% to 02 55=100%)"
"14","17","00 00 to 02 55","Send/read the Anti VOX gain (00 00=0% to 02 55=100%)"
"14","19","00 00 to 02 55","Send/read BRIGHT level (00 00=0%, 02 55=100%)"
"15","01","00/01","Read noise or S-meter squelch status (squelch close)"
"15","02","00 00 to 02 55","Read S-meter level (00 00=S0, 01 20=S9, 02 41=S9+60dB)"
"15","05","00/01","Read various squelch function’s status (squelch closed)"
"15","07","00/01","Read the OVF icon status (00=Disappears, 01=Appears)"
"15","11","00 00 to 02 55","Read PO meter level (00 00=0%, 01 43=50%, 02 13=100%)"
"15","12","00 00 to 02 55","Read SWR meter level (00 00=SWR1.0, 00 48=SWR1.5, 00 80=SWR2.0, 01 20=SWR3.0)"
"15","13","00 00 to 02 55","Read ALC meter level (00 00=Min. to 01 20=Max.)"
"15","14","00 00 to 02 55","Read COMP meter level (00 00=0 dB, 01 30=15 dB, 02 41=30 dB)"
"15","15","00 00 to 02 55","Read Vd meter level (00 00=0 V, 00 13=10 V, 02 41=16 V)"
"15","16","00 00 to 02 55","Read Id meter level (00 00=0, 00 97=10, 01 46=15, 02 41=25)"
"16","02","00 to 02","Preamp (00=OFF, 01=Preamp 1 ON, 02=Preamp 2 ON)"
"16","12","01 to 03","AGC (01=FAST, 02=MID, 03=SLOW)"
"16","22","00/01","Noise blanker (00=OFF, 01=ON)"
"16","40","00/01","Noise reduction (00=OFF, 01=ON)"
"16","41","00/01","Auto notch function (00=OFF, 01=ON)"
"16","42","00/01","Repeater tone (00=OFF, 01=ON)"
"16","43","00/01","Tone squelch (00=OFF, 01=ON)"
"16","44","00/01","Speech compressor (00=OFF, 01=ON)"
"16","45","00/01","Monitor function (00=OFF, 01=ON)"
"16","46","00/01","VOX function (00=OFF, 01=ON)"
"16","47","00 to 02","BK-IN function (00=BK-IN OFF, 01=Semi BK-IN ON, 02=Full BK-IN ON)"
"16","48","00/01","Manual notch function (00=OFF, 01=ON)"
"16","4F","00/01","Twin Peak Filter (00=OFF, 01=ON) Can be turned ON only when Mark and Shift are set to 2125 Hz and 170 Hz, respectively."
"16","50","00/01","Dial lock function (00=OFF, 01=ON)"
"16","56","00/01","DSP filter type (00=SHARP, 01=SOFT)"
"16","57","00 to 02","Manual notch width (00=WIDE, 01=MID, 02=NAR)"
"16","58","00 to 02","SSB transmit bandwidth (00=WIDE, 01=MID, 02=NAR)"
"16","65","00/01","Send the IP+ function setting (00=OFF, 01=ON)"
"16","66","00/01","Send/read the TX Inhibit function (00=OFF, 01=ON)"
"17","","","p. 19-13 Send CW messages"
"18","00","","Turn OFF the transceiver"
"18","01","","Turn ON the transceiver"
"19","","00","Read the transceiver ID"
"1A","00","","p. 19-11 Send/read memory contents"
"1A","01","","p. 19-10 Send/read band stacking register contents"
"1A","02","","p. 19-12 Send/read memory keyer contents"
"1A","03","00 to 49","Send/read the selected filter width (AM: 00=200 Hz to 49=10 kHz; other than AM modes: 00=50 Hz to 31/40=2700 Hz/3600 Hz)"
"1A","04","00 to 13","Send/read the selected AGC time constant (00=OFF, AM: 01=0.3 sec. to 13=8.0 sec., SSB,CW,RTTY: 01=0.1 sec. to 13=6.0 sec.)"
"1A","05,0001","","p. 19-9 Send/read SSB RX HPF/LPF settings"
"1A","05,0002","00 to 10","Send/read SSB RX Tone (Bass) level (00=–5 to 10=+5)"
"1A","05,0003","00 to 10","Send/read SSB RX Tone (Treble) level (00=–5 to 10=+5)"
"1A","05,0004","","p. 19-9 Send/read AM RX HPF/LPF settings"
"1A","05,0005","00 to 10","Send/read AM RX Tone (Bass) level (00=–5 to 10=+5)"
"1A","05,0006","00 to 10","Send/read AM RX Tone (Treble) level (00=–5 to 10=+5)"
"1A","05,0007","","p. 19-9 Send/read FM RX HPF/LPF settings"
"1A","05,0008","00 to 10","Send/read FM RX Tone (Bass) level (00=–5 to 10=+5)"
"1A","05,0009","00 to 10","Send/read FM RX Tone (Treble) level (00=–5 to 10=+5)"
"1A","05,0010","","p. 19-9 Send/read CW RX HPF/LPF settings"
"1A","05,0011","","p. 19-9 Send/read RTTY RX HPF/LPF settings"
"1A","05,0012","00 to 10","Send/read SSB TX Tone (Bass) level (00=–5 to 10=+5)"
"1A","05,0013","00 to 10","Send/read SSB TX Tone (Treble) level (00=–5 to 10=+5)"
"1A","05,0014","","p. 19-9 Send/read SSB TX bandwidth for wide"
"1A","05,0015","","p. 19-9 Send/read SSB TX bandwidth for mid"
"1A","05,0016","","p. 19-9 Send/read SSB TX bandwidth for narrow"
"1A","05,0017","00 to 10","Send/read AM TX Tone (Bass) level (00=–5 to 10=+5)"
"1A","05,0018","00 to 10","Send/read AM TX Tone (Treble) level (00=–5 to 10=+5)"
"1A","05,0019","00 to 10","Send/read FM TX Tone (Bass) level (00=–5 to 10=+5)"
"1A","05,0020","00 to 10","Send/read FM TX Tone (Treble) level (00=–5 to 10=+5)"
"1A","05,0021","00 00 to 02 55","Send/read beep gain (00 00=min. to 02 55=max.)"
"1A","05,0022","00/01","Send/read beep gain limit (00=OFF, 01=ON)"
"1A","05,0023","00/01","Send/read confirmation beep (00=OFF, 01=ON)"
"1A","05,0024","00","Send/read the band edge beep OFF"
"1A","05,0024","01","Send/read the band edge beep ON (Beep sounds with a default amateur band)"
"1A","05,0024","02","Send/read the band edge beep with user setting ON"
"1A","05,0024","03","Send/read the band edge beep with user setting/TX limit ON"
"1A","05,0025","00 to 02","Send/read the RF/SQL Control setting (00=Auto, 01=SQL, 02=RF+SQL)"
"1A","05,0026","00 to 05","Send/read the TX Delay setting (HF) (00=OFF, 01=10 ms, 02=15 ms, 03=20 ms, 04=25 ms, 05=30 ms)"
"1A","05,0027","00 to 05","Send/read the TX Delay setting (50 MHz) (00=OFF, 01=10 ms, 02=15 ms, 03=20 ms, 04=25 ms, 05=30 ms)"
