"Cmd.","Sub cmd.","Data","Description"
"15","13","00 00 ~ 02 55","Reads the current ALC meter level. (00 00=Minimum ~ 01 20=Maximum) ""00 00"" will be returned while receiving."
"15","14","00 00 ~ 02 55","Reads the current COMP meter level. (00 00=0 dB ~ 01 30=15 dB ~ 02 10=30 dB) ""00 00"" will be returned while receiving."
"15","15","00 00 ~ 02 55","Reads the current Vd meter level. (00 00=0 V, 00 13=10 V, 02 41=16 V)"
"15","16","00 00 ~ 02 55","Reads the current Id meter level. (00 00=0, 00 97=10, 01 46=15, 02 41=25)"
"16","02","00 ~ 02","Sets or reads the ON/OFF status of a preamp. (00=OFF, 01=P.AMP1 ON, 02=P.AMP2 ON)"
"16","12","01 ~ 03","Sets or reads the AGC time constant. (01=FAST, 02=MID, 03=SLOW)"
"16","22","00/01","Sets or reads the ON/OFF status of the Noise Blanker function. (00=OFF, 01=ON)"
"16","32","00","Turns the APF OFF."
"16","32","01","Turns the WIDE APF ON. (The 320 Hz APF will be ON when the APF type is set to SHARP.)"
"16","32","02","Turns the MID APF ON. (The 160 Hz APF will be ON when the APF type is set to SHARP.)"
"16","32","03","Turns the NAR APF ON. (The 80 Hz APF will be ON when the APF type is set to SHARP.)"
"16","40","00/01","Sets or reads the ON/OFF status of the Noise Reduction function. (00=OFF, 01=ON)"
"16","41","00/01","Sets or reads the ON/OFF status of the Auto Notch filter. (00=OFF, 01=ON)"
"16","42","00/01","Sets or reads the ON/OFF status of the Repeater tone. (00=OFF, 01=ON)"
"16","43","00/01","Sets or reads the ON/OFF status of the Tone squelch. (00=OFF, 01=ON)"
"16","44","00/01","Sets or reads the ON/OFF status of the Speech Compressor function. (00=OFF, 01=ON)"
"16","45","00/01","Sets or reads the ON/OFF status of the Monitor function. (00=OFF, 01=ON)"
"16","46","00/01","Sets or reads the ON/OFF status of the VOX function. (00=OFF, 01=ON)"
"16","47","00 ~ 02","Sets or reads the ON/OFF status of the Break-in function in the CW mode. (00=OFF, 01=Semi Break-in function ON, 02=Full Break-in function ON)"
"16","48","00/01","Sets or reads the ON/OFF status of the Manual Notch function. (00=OFF, 01=ON)"
"16","4F","00/01","Sets or reads the ON/OFF status of the Twin Peak Filter. (00=OFF, 01=ON) Can be turned ON only when the Mark frequency and Shift frequency are set to 2125 Hz and 170 Hz, respectively."
"16","50","00/01","Sets or reads the ON/OFF status of the Lock function. (00=OFF, 01=ON) MAIN DIAL or the panel display is locked, depending on the Lock function setting (1A 05 00 48)."
"16","56","00/01","Sets or reads the IF filter shape. (00=SHARP, 01=SOFT)"
"16","57","00 ~ 02","Sets or reads the filter width for the Manual Notch function. (00=WIDE, 01=MID, 02=NAR)"
"16","58","00 ~ 02","Sets or reads the transmit filter bandwidth for the SSB mode. (00=WIDE, 01=MID, 02=NAR) Depending on whether the Speech Compressor function is set to ON or OFF (16 44 00/01), one of the TX bandwidths corresponding to the following commands will be applied: WIDE (Command: 1A 05 00 14), MID (Command: 1A 05 00 15), or NAR (Command: 1A 05 00 16)"
"16","65","00/01","Sets or reads the ON/OFF status of the IP Plus function. (00=OFF, 01=ON)"
"16","66","00/01","Sets or reads the ON/OFF status of the TX Inhibit function. (00=OFF, 01=ON)"
