"Cmd.","Sub cmd.","Data","Description"
"00","","See p. 17","Send the frequency data (transceive)"
"01","","See p. 17","Send the mode data (transceive)"
"02","","See p. 17","Read the band edge frequencies"
"03","","See p. 17","Read the operating frequency"
"04","","See p. 17","Read the operating mode"
"05","","See p. 17","Set the operating frequency"
"06","","See p. 17","Set the operating mode"
"07","","","Select the VFO mode"
"07","00","","Select VFO A"
"07","01","","Select VFO B"
"07","A0","","Equalize VFO A and VFO B (When the split frequency operation is OFF in the Memory mode or the Call channel mode, ""FA"" (NG) is returned.)"
"07","B0","","Exchange VFO A and VFO B. (When the split frequency operation is OFF in the Memory mode or the Call channel mode, ""FA"" (NG) is returned.)"
"08","","","Select the Memory mode"
"08","","0000 ~ 0099","Select the Memory channel (Memory channel: 0000 ~ 0099; Call channel: 0000 (144C1), 0001 (144C2), 0002 (430C1), 0003 (430C2))"
"08","A0","0000 ~ 0100","Select the Memory group (Memory channel group: 0000 ~ 0099; Call channel group: 0100)"
"09","","","Memory write"
"0A","","","Memory copy to VFO"
"0B","","","Memory clear"
"0C","","See p. 17","Read frequency offset"
"0D","","See p. 17","Send frequency offset"
"0E","00","","Cancel the scan"
"0E","01","","Start a Programmed/memory scan"
"0E","02","","Start a Programmed scan"
"0E","03","","Start a ∂F scan"
"0E","12","","Start a Fine programmed scan"
"0E","13","","Start a Fine ∂F scan"
"0E","22","","Start a Memory scan"
"0E","23","","Start a Select memory scan"
"0E","24","","Start a Mode Select scan"
"0E","Ax","x=1 ~ 7","Select ∂F scan span (x=1 (±5kHz), x=2 (±10kHz), x=3 (±20kHz), x=4 (±50kHz), x=5 (±100kHz), x=6 (±500kHz), x=7 (±1MHz))"
"0E","B0","","Clear the Select channel setting"
"0E","B1","","Set as select channel (The previously set number by CI-V is set after turning power ON, or ""1"" is selected if no selection is performed.)"
"0E","B1","01 ~ 03","Set the channel as a Select channel (01=SEL1, 02=SEL2, 03=SEL3)"
"0E","B2","00 ~ 03","Set the Select memory scan channel (00=ALL, 01=SEL1, 02=SEL2, 03=SEL3)"
"0E","D0","","Set Scan resume OFF"
"0E","D3","","Set Scan resume ON (Close&Delay)"
"0F","00","","Read Split OFF setting"
"0F","01","","Read Split ON setting"
"0F","11","","Read DUP– operation"
"0F","12","","Read DUP+ operation"
"0F","00","","Set Split function OFF"
"0F","01","","Set Split function ON"
"0F","10","","Set the simplex operation"
"0F","11","","Set DUP– operation"
"0F","12","","Set DUP+ operation"
"10","","00 ~ 13","Send/read the tuning step (00=OFF (10Hz or 1Hz), 01=100Hz, 02=500Hz, 03=1kHz, 04=5kHz, 05=6.25kHz, 06=8.33kHz, 07=9kHz, 08=10kHz, 09=12.5kHz, 10=20kHz, 11=25kHz, 12=50kHz, 13=100kHz)"
"11","00","","Send/read attenuator OFF setting"
"11","20","","Send/read 20 dB attenuator setting (You can set in the HF and 50 MHz bands.)"
"13","00","","Speech all data by voice synthesizer (S meter level, frequency, and mode)"
"13","01","","Speech the operating frequency and S meter level by voice synthesizer"
"13","02","","Speech the operating mode by voice synthesizer (The mode is announced after the ongoing speech.)"
"14","01","0000 ~ 0255","Send/read the AF level (0000=Minimum ~ 0255=Maximum)"
"14","02","0000 ~ 0255","Send/read the RF gain level (0000=Minimum ~ 0255=Maximum)"
"14","03","0000 ~ 0255","Send/read the squelch level (0000=Minimum ~ 0255=Maximum)"
"14","06","0000 ~ 0255","Send/read the NR level (0000=0% ~ 0255=100%)"
"14","07","0000 ~ 0255","Send/read [TWIN PBT] (PBT1) position (0000=max. Counter Clockwise ~ 0128=center ~ 0255=max. Clockwise)"
"14","08","0000 ~ 0255","Send/read [TWIN PBT] (PBT2) position (0000=max. Counter Clockwise ~ 0128=center ~ 0255=max. Clockwise)"
"14","09","0000 ~ 0255","Send/read CW pitch (5 Hz steps) (0000=300 Hz ~ 0128=600 Hz ~ 0255=900 Hz)"
"14","0A","0000 ~ 0255","Send/read the selected band's RF power (0000=Minimum ~ 0255=Maximum)"
"14","0B","0000 ~ 0255","Send/read MIC gain (0000=Minimum ~ 0255=Maximum)"
"14","0C","0000 ~ 0255","Send/read keying speed (0000=6 WPM ~ 0255=48 WPM)"
"14","0D","0000 ~ 0255","Send/read Notch filter setting (0000=max. Counter Clockwise ~ 0128=center ~ 0255=max. Clockwise)"
"14","0E","0000 ~ 0255","Send/read the COMP level (0000=0 ~ 0255=10)"
"14","0F","0000 ~ 0255","Send/read the Break-IN Delay setting (0000=2.0d ~ 0255=13.0d)"
"14","12","0000 ~ 0255","Send/read NB level (0000=0% ~ 0255=100%)"
"14","15","0000 ~ 0255","Send/read Monitor audio [MONI] level (0000=0% ~ 0255=100%)"
"14","16","0000 ~ 0255","Send/read the VOX gain (0000=0% ~ 0255=100%)"
"14","17","0000 ~ 0255","Send/read the Anti VOX gain (0000=0% ~ 0255=100%)"
"14","19","0000 ~ 0255","Send/read LCD backlight brightness (0000=0% ~ 0255=100%)"
"15","01","00/01","Read noise or S-meter squelch status (00=Close, 01=Open)"
"15","02","0000 ~ 0255","Read S-meter level (0000=S0, 0120=S9, 0241=S9+60 dB)"
"15","05","00/01","Read various squelch (tone squelch, and so on) status (00=Close, 01=Open)"
"15","07","00/01","Read the OVF status (00=OVF indicator is OFF, 01=OVF indicator is ON)"
"15","11","0000 ~ 0255","Read the Po meter level (0000=0% ~ 0143=50% ~ 0213=100%)"
"15","12","0000 ~ 0255","Read SWR meter level (0000=SWR1.0, 0048=SWR1.5, 0080=SWR2.0, 0120=SWR3.0)"
