"Cmd.","Sub cmd.","Data","Description"
"15","13","0000 ~ 0255","Read ALC meter level (0000=Minimum ~ 0120=Maximum)"
"15","14","0000 ~ 0255","Read COMP meter level (0000=0 dB ~ 0130=15 dB ~ 0210=25.5 dB)"
"15","15","0000 ~ 0255","Read Vd meter level (0000=0 V ~ 0075=5 V ~ 0241=16 V)"
"15","16","0000 ~ 0255","Read Id meter level (0000=0 A ~ 0121=2 A ~ 0241=4 A)"
"16","02","00 ~ 02","Send/read the Preamp (00=OFF, 01=P.AMP1, 02=P.AMP2) (In the 144 or 430 MHz bands, 00=OFF, 01=ON)"
"16","12","01 ~ 03","Send/read the AGC time constant (01=FAST, 02=MID, 03=SLOW)"
"16","22","00/01","Send/read the Noise blanker (00=OFF, 01=ON)"
"16","40","00/01","Send/read the Noise reduction (00=OFF, 01=ON)"
"16","41","00/01","Send/read the Auto Notch function (00=OFF, 01=ON)"
"16","42","00/01","Send/read the Repeater tone (00=OFF, 01=ON)"
"16","43","00/01","Send/read the Tone squelch (00=OFF, 01=ON)"
"16","44","00/01","Send/read the Speech compressor (00=OFF, 01=ON)"
"16","45","00/01","Send/read the Monitor [MONI] function (00=OFF, 01=ON)"
"16","46","00/01","Send/read the VOX function (00=OFF, 01=ON)"
"16","47","00 ~ 02","Send/read the BK-IN function (00=BK-IN OFF, 01=Semi BK-IN ON, 02=Full BK-IN ON)"
"16","48","00/01","Send/read the Manual Notch function (00=OFF, 01=ON)"
"16","4B","00/01","Send/read the DTCS function (00=OFF, 01=ON)"
"16","4F","00/01","Send/read the Twin peak filter (00=OFF, 01=ON) (Can be turned ON only when Mark and Shift are set to 2125 Hz and 170 Hz, respectively)"
"16","50","00/01","Send/read the Dial lock function (00=OFF, 01=ON)"
"16","56","00/01","Send/read DSP IF filter type in the operating band (00=SHARP, 01=SOFT)"
"16","57","00 ~ 02","Send/read the Manual Notch width (00=WIDE, 01=MID, 02=NAR)"
"16","58","00 ~ 02","Send/read SSB transmit bandwidth (00=WIDE, 01=MID, 02=NAR) (One of following values is applied, depending on the ""COMP"" status (ON or OFF): WIDE (Command: 1A 05 0017), MID (Command: 1A 05 0018), or NAR (Command: 1A 05 0019))"
"16","5B","00 ~ 02","Send/read the DSQL (Digital Call Sign squelch)/CSQL (Digital Code squelch) setting (DV mode only) (00=OFF, 01=DSQL, 02=CSQL)"
"16","5C","00 ~ 02","Send/read the GPS TX mode (00=OFF, 01=D-PRS, 02=NMEA)"
"16","5D","00 ~ 03, 06 ~ 09","Send/read the Tone squelch function (00=OFF, 01=TONE, 02=TSQL, 03=DTCS, 06=DTCS (T), 07=TONE (T)/DTCS (R), 08=DTCS (T)/TSQL (R), 09=TONE (T)/TSQL (R))"
"17","","See p. 17","Send CW messages"
"18","00","","Turn OFF the transceiver"
"18","01","","Turn ON the transceiver"
"19","00","","Read the transceiver ID"
"1A","00","See pp. 18 and 19","Send/read memory contents"
"1A","01","See p. 19","Send/read band stacking register contents"
"1A","02","See p. 20","Send/read memory keyer contents"
"1A","03","See p. 20","Send/read the selected IF filter width"
"1A","04","See p. 20","Send/read the selected AGC time constant"
"1A","05,0001","See p. 20","SET > Tone Control/TBW > RX > SSB > Send/read RX HPF/LPF settings"
"1A","05,0002","00 ~ 10","SET > Tone Control/TBW > RX > SSB > Send/read RX Tone (Bass) level (00=–5 ~ 10=+5)"
"1A","05,0003","00 ~ 10","SET > Tone Control/TBW > RX > SSB > Send/read RX Tone (Treble) level (00=–5 ~ 10=+5)"
"1A","05,0004","See p. 20","SET > Tone Control/TBW > RX > AM > Send/read RX HPF/LPF settings"
"1A","05,0005","00 ~ 10","SET > Tone Control/TBW > RX > AM > Send/read RX Tone (Bass) level (00=–5 ~ 10=+5)"
"1A","05,0006","00 ~ 10","SET > Tone Control/TBW > RX > AM > Send/read RX Tone (Treble) level (00=–5 ~ 10=+5)"
"1A","05,0007","See p. 20","SET > Tone Control/TBW > RX > FM > Send/read RX HPF/LPF settings"
"1A","05,0008","00 ~ 10","SET > Tone Control/TBW > RX > FM > Send/read RX Tone (Bass) level (00=–5 ~ 10=+5)"
"1A","05,0009","00 ~ 10","SET > Tone Control/TBW > RX > FM > Send/read RX Tone (Treble) level (00=–5 ~ 10=+5)"
"1A","05,0010","See p. 20","SET > Tone Control/TBW > RX > DV > Send/read RX HPF/LPF settings"
"1A","05,0011","00 ~ 10","SET > Tone Control/TBW > RX > DV > Send/read RX Tone (Bass) level (00=–5 ~ 10=+5)"
"1A","05,0012","00 ~ 10","SET > Tone Control/TBW > RX > DV > Send/read RX Tone (Treble) level (00=–5 ~ 10=+5)"
"1A","05,0013","00 ~ 10","SET > Tone Control/TBW > RX > WFM > Send/read RX Tone (Bass) level (00=–5 ~ 10=+5)"
"1A","05,0014","00 ~ 10","SET > Tone Control/TBW > RX > WFM > Send/read RX Tone (Treble) level (00=–5 ~ 10=+5)"
"1A","05,0015","See p. 20","SET > Tone Control/TBW > RX > CW > Send/read RX HPF/LPF settings"
"1A","05,0016","See p. 20","SET > Tone Control/TBW > RX > RTTY > Send/read RX HPF/LPF settings"
"1A","05,0017","00 ~ 10","SET > Tone Control/TBW > TX > SSB > Send/read TX Tone (Bass) level (00=–5 ~ 10=+5)"
"1A","05,0018","00 ~ 10","SET > Tone Control/TBW > TX > SSB > Send/read TX Tone (Treble) level (00=–5 ~ 10=+5)"
"1A","05,0019","See p. 20","SET > Tone Control/TBW > TX > SSB > Send/read TX bandwidth for wide"
"1A","05,0020","See p. 20","SET > Tone Control/TBW > TX > SSB > Send/read TX bandwidth for mid"
"1A","05,0021","See p. 20","SET > Tone Control/TBW > TX > SSB > Send/read TX bandwidth for narrow"
"1A","05,0022","See p. 20","SET > Tone Control/TBW > TX > SSB-D > Send/read TX bandwidth"
"1A","05,0023","00 ~ 10","SET > Tone Control/TBW > TX > AM > Send/read TX Tone (Bass) level (00=–5 ~ 10=+5)"
"1A","05,0024","00 ~ 10","SET > Tone Control/TBW > TX > AM > Send/read TX Tone (Treble) level (00=–5 ~ 10=+5)"
"1A","05,0025","00 ~ 10","SET > Tone Control/TBW > TX > FM > Send/read TX Tone (Bass) level (00=–5 ~ 10=+5)"
"1A","05,0026","00 ~ 10","SET > Tone Control/TBW > TX > FM > Send/read TX Tone (Treble) level (00=–5 ~ 10=+5)"
"1A","05,0027","00 ~ 10","SET > Tone Control/TBW > TX > DV > Send/read TX Tone (Bass) level (00=–5 ~ 10=+5)"
"1A","05,0028","00 ~ 10","SET > Tone Control/TBW > TX > DV > Send/read TX Tone (Treble) level (00=–5 ~ 10=+5)"
"1A","05,0029","0000 ~ 0255","SET > Function > Send/read the Beep Level setting (0000=Minimum ~ 0255=Maximum)"
"1A","05,0030","00/01","SET > Function > Send/read the Beep Level Limit setting (00=OFF, 01=ON)"
"1A","05,0031","00/01","SET > Function > Send/read the Beep (Confirmation) setting (00=OFF, 01=ON)"
"1A","05,0032","00/01","SET > Function > Send/read the Home CH Beep setting (00=OFF, 01=ON)"
"1A","05,0033","00 ~ 03","SET > Function > Send/read the Band Edge Beep setting (00=OFF, 01=ON (Default), 02=ON (User), 03=ON (User) & TX Limit)"
"1A","05,0034","00 ~ 04","SET > Function > Send/read the Auto Power OFF setting (00=OFF, 01=30 min, 02=60 min, 03=90 min, 04=120 min)"
"1A","05,0035","00 ~ 03","SET > Function > Send/read the Power Save setting (00=OFF, 01=Auto (Short), 02=Auto (Middle), 03=Auto (Long))"
"1A","05,0036","00 ~ 03","SET > Function > Send/read the Max TX Power (Battery Pack) setting (00=0.5 W, 01=1 W, 02=2.5 W, 03=5 W)"
"1A","05,0037","00 ~ 04","SET > Function > Send/read the Max TX Power (DC 13.8V) setting (00=0.5 W, 01=1 W, 02=2.5 W, 03=5 W, 04=10 W)"
"1A","05,0038","00 ~ 05","SET > Function > Send/read the TX Delay (HF) setting (00=OFF, 01=10 ms, 02=15 ms, 03=20 ms, 04=25 ms, 05=30 ms)"
"1A","05,0039","00 ~ 05","SET > Function > Send/read the TX Delay (50 MHz) setting (00=OFF, 01=10 ms, 02=15 ms, 03=20 ms, 04=25 ms, 05=30 ms)"
"1A","05,0041","00 ~ 05","SET > Function > Send/read the TX Delay (144 MHz) setting (00=OFF, 01=10 ms, 02=15 ms, 03=20 ms, 04=25 ms, 05=30 ms)"
"1A","05,0042","00 ~ 05","SET > Function > Send/read the TX Delay (430 MHz) setting (00=OFF, 01=10 ms, 02=15 ms, 03=20 ms, 04=25 ms, 05=30 ms)"
"1A","05,0043","00 ~ 05","SET > Function > Send/read the Time-Out Timer setting (00=OFF, 01=3 min, 02=5 min, 03=10 min, 04=20 min, 05=30 min)"
"1A","05,0044","00/01","SET > Function > Send/read the PTT Lock setting (00=OFF, 01=ON)"
"1A","05,0045","00/01","SET > Function > SPLIT > Send/read the Quick SPLIT setting (00=OFF, 01=ON)"
"1A","05,0046","See p. 20","SET > Function > SPLIT > Send/read the SPLIT Offset setting"
"1A","05,0047","00/01","SET > Function > SPLIT > Send/read the SPLIT LOCK setting (00=OFF, 01=ON)"
"1A","05,0048","00/01","SET > Function > Tuner > Send/read the PTT Start setting (00=OFF, 01=ON)"
"1A","05,0049","00 ~ 02","SET > Function > Send/read the Auto Repeater setting (00=OFF, 01=ON (DUP), 02=ON (DUP,TONE))"
"1A","05,0050","00 ~ 02","SET > Function > Send/read the RTTY Mark Frequency setting (00=1275 Hz, 01=1615 Hz, 02=2125 Hz)"
"1A","05,0051","00 ~ 02","SET > Function > Send/read the RTTY Shift Width setting (00=170 Hz, 01=200 Hz, 02=425 Hz)"
"1A","05,0052","00/01","SET > Function > Send/read the RTTY Keying Polarity setting (00=Normal, 01=Reverse)"
"1A","05,0053","00/01","SET > Function > SPEECH > Send/read the SPEECH Language setting (00=Japanese, 01=English)"
"1A","05,0054","00/01","SET > Function > SPEECH > Send/read the Alphabet setting (00=Normal, 01=Phonetic Code)"
"1A","05,0055","00/01","SET > Function > SPEECH > Send/read the SPEECH Speed setting (00=Slow, 01=Fast)"
"1A","05,0056","00 ~ 02","SET > Function > SPEECH > Send/read the RX Call Sign SPEECH setting (00=OFF, 01=ON (Kerchunk), 02=ON (All))"
"1A","05,0057","00/01","SET > Function > SPEECH > Send/read the RX>CS SPEECH setting (00=OFF, 01=ON)"
"1A","05,0058","00/01","SET > Function > SPEECH > Send/read the MIC Up/Down SPEECH setting (00=OFF, 01=ON)"
"1A","05,0059","00/01","SET > Function > SPEECH > Send/read the S-Level SPEECH setting (00=OFF, 01=ON)"
"1A","05,0060","00/01","SET > Function > SPEECH > Send/read the MODE SPEECH setting (00=OFF, 01=ON)"
"1A","05,0061","0000 ~ 0255","SET > Function > SPEECH > Send/read the SPEECH Level setting (0000=0% ~ 0255=100%)"
"1A","05,0062","00/01","SET > Function > Send/read the [SPEECH/LOCK] Switch setting (00=SPEECH/LOCK, 01=LOCK/SPEECH)"
"1A","05,0063","00/01","SET > Function > Send/read the Lock Function setting (00=MAIN DIAL, 01=PANEL)"
"1A","05,0064","00/01","SET > Function > Send/read the Memo Pad Quantity setting (00=5 ch, 01=10 ch)"
"1A","05,0065","00 ~ 02","SET > Function > Send/read the MAIN DIAL Auto TS setting (00=OFF, 01=Low, 02=High)"
"1A","05,0066","00/01","SET > Function > Send/read the MIC Up/Down Speed setting (00=Slow, 01=Fast)"
"1A","05,0067","00 ~ 02","SET > Function > Send/read the [NOTCH] Switch (SSB) setting (00=Auto, 01=Manual, 02=Auto/Manual)"
"1A","05,0068","00 ~ 02","SET > Function > Send/read the [NOTCH] Switch (AM) setting (00=Auto, 01=Manual, 02=Auto/Manual)"
"1A","05,0069","00/01","SET > Function > Send/read the SSB/CW Synchronous Tuning setting (00=OFF, 01=ON)"
"1A","05,0070","00/01","SET > Function > Send/read the CW Normal Side setting (00=LSB, 01=USB)"
"1A","05,0071","00/01","SET > Function > Send/read the Charging (Power ON) setting (00=OFF, 01=ON)"
"1A","05,0072","00/01","SET > Function > Send/read the USB Power Input (Phone, Tablet, PC) setting (00=OFF, 01=ON)"
"1A","05,0073","00/01","SET > Function > Send/read the Power OFF Setting (for Remote Control) setting (00=Shutdown only, 01=Standby/Shutdown)"
"1A","05,0074","See p. 21","SET > Function > Remote MIC Key > Send/read the [A] setting"
"1A","05,0075","See p. 21","SET > Function > Remote MIC Key > Send/read the [B] setting"
"1A","05,0076","See p. 21","SET > Function > Remote MIC Key > Send/read the [C] setting"
"1A","05,0077","See p. 21","SET > Function > Remote MIC Key > Send/read the [D] setting"
"1A","05,0078","00/01","SET > Function > Remote MIC Key > Send/read the Mode Select (SSB) setting (00=OFF, 01=ON)"
"1A","05,0079","00/01","SET > Function > Remote MIC Key > Send/read the Mode Select (CW) setting (00=OFF, 01=ON)"
"1A","05,0080","00/01","SET > Function > Remote MIC Key > Send/read the Mode Select (RTTY) setting (00=OFF, 01=ON)"
"1A","05,0081","00/01","SET > Function > Remote MIC Key > Send/read the Mode Select (AM) setting (00=OFF, 01=ON)"
"1A","05,0082","00/01","SET > Function > Remote MIC Key > Send/read the Mode Select (FM) setting (00=OFF, 01=ON)"
"1A","05,0083","00/01","SET > Function > Remote MIC Key > Send/read the Mode Select (DV) setting (00=OFF, 01=ON)"
"1A","05,0084","00/01","SET > Function > Remote MIC Key > Send/read the Mode Select (WFM) setting (00=OFF, 01=ON)"
"1A","05,0085","00/01","SET > Function > Send/read the Keyboard Type setting (00=Ten-key, 01=Full Keyboard)"
"1A","05,0086","00 ~ 02","SET > Function > Send/read the Full Keyboard Layout setting (00=English, 01=German, 02=French)"
"1A","05,0087","00/01","SET > Function > Send/read the Screen Capture [POWER] Switch setting (00=OFF, 01=ON)"
"1A","05,0088","00/01","SET > Function > Send/read the Screen Capture File Type setting (00=PNG, 01=BMP)"
"1A","05,0089","0000 ~ 0511","SET > Function > Send/read the REF Adjust setting (0000=0% ~ 0511=100%)"
"1A","05,0090","00 ~ 03","SET > DV Set > Send/read the Standby Beep setting (00=OFF, 01=ON, 02=ON (to me:High Tone), 03=ON (to me:Alarm/High Tone))"
"1A","05,0091","00 ~ 03","SET > DV Set > Send/read the Auto Reply setting (00=OFF, 01=ON, 02=Voice, 03=Position)"
"1A","05,0092","00/01","SET > DV Set > Send/read the DV Data TX setting (00=PTT, 01=Auto)"
"1A","05,0093","00/01","SET > DV Set > DV Fast Data > Send/read the Fast Data setting (00=OFF, 01=ON)"
"1A","05,0094","00/01","SET > DV Set > DV Fast Data > Send/read the GPS Data Speed setting (00=Slow, 01=Fast)"
"1A","05,0095","00 ~ 10","SET > DV Set > DV Fast Data > Send/read the TX Delay (PTT) setting (00=OFF, 01=1sec ~ 10=10sec)"
"1A","05,0096","00 ~ 02","SET > DV Set > Send/read the Digital Monitor setting (00=Auto, 01=Digital, 02=Analog)"
"1A","05,0097","00/01","SET > DV Set > Send/read the Digital Repeater Set setting (00=OFF, 01=ON)"
"1A","05,0098","00/01","SET > DV Set > Send/read the DV Auto Detect setting (00=OFF, 01=ON)"
"1A","05,0099","00/01","SET > DV Set > Send/read the RX Record (RPT) setting (00=ALL, 01=Latest Only)"
"1A","05,0100","00/01","SET > DV Set > Send/read the BK setting (00=OFF, 01=ON)"
"1A","05,0101","00/01","SET > DV Set > Send/read the EMR setting (00=OFF, 01=ON)"
"1A","05,0102","0000 ~ 0255","SET > DV Set > Send/read the EMR AF Level setting (0000=0% ~ 0255=100%)"
"1A","05,0103","00/01","SET > QSO/RX Log > Send/read the QSO Log setting (00=OFF, 01=ON)"
"1A","05,0104","00/01","SET > QSO/RX Log > Send/read the RX History Log setting (00=OFF, 01=ON)"
"1A","05,0105","00 ~ 02","SET > QSO/RX Log > CSV Format > Send/read the Separator/Decimal setting (00=Separator is "", "" and Decimal is "".,"" 01=Separator is ""; "" and Decimal is "".,"" 02=Separator is ""; "" and Decimal is "","")"
"1A","05,0106","00 ~ 02","SET > QSO/RX Log > CSV Format > Send/read the Date setting (00=""yyyy/mm/dd,"" 01=""mm/dd/yyyy,"" 02=""dd/mm/yyyy"")"
"1A","05,0107","00 ~ 02","SET > Connectors > Send/read the SP Jack Function setting (00=Speaker, 01=Phone, 02=Phone (L+R))"
"1A","05,0108","00 ~ 30","SET > Connectors > Send/read the Phones Level setting (00=–15 ~ 30=+15)"
"1A","05,0109","00/01","SET > Connectors > USB AF/IF Output > Send/read the Output Select setting (00=AF, 01=IF)"
"1A","05,0110","0000 ~ 0255","SET > Connectors > USB AF/IF Output > Send/read the AF Output Level setting (0000=0% ~ 0255=100%)"
"1A","05,0111","00/01","SET > Connectors > USB AF/IF Output > Send/read the AF SQL setting (00=OFF (Open), 01=ON)"
"1A","05,0112","00/01","SET > Connectors > USB AF/IF Output > Send/read the AF Beep/Speech Output setting (00=OFF, 01=ON)"
"1A","05,0113","0000 ~ 0255","SET > Connectors > USB AF/IF Output > Send/read the IF Output Level setting (0000=0% ~ 0255=100%)"
"1A","05,0114","00/01","SET > Connectors > WLAN AF/IF Output > Send/read the Output Select setting (00=AF, 01=IF)"
"1A","05,0115","00/01","SET > Connectors > WLAN AF/IF Output > Send/read the AF SQL setting (00=OFF (Open), 01=ON)"
"1A","05,0116","0000 ~ 0255","SET > Connectors > MOD Input > Send/read the USB MOD Level setting (0000=0% ~ 0255=100%)"
"1A","05,0117","0000 ~ 0255","SET > Connectors > MOD Input > Send/read the WLAN MOD Level setting (0000=0% ~ 0255=100%)"
"1A","05,0118","00 ~ 03","SET > Connectors > MOD Input > Send/read the DATA OFF MOD setting (00=MIC, 01=USB, 02=MIC, USB, 03=WLAN)"
"1A","05,0119","00 ~ 03","SET > Connectors > MOD Input > Send/read the DATA MOD setting (00=MIC, 01=USB, 02=MIC, USB, 03=WLAN)"
"1A","05,0120","00/01","SET > Connectors > SEND Output > Send/read the HF setting (00=OFF, 01=ON)"
"1A","05,0121","00/01","SET > Connectors > SEND Output > Send/read the 50M setting (00=OFF, 01=ON)"
"1A","05,0123","00/01","SET > Connectors > SEND Output > Send/read the 144M setting (00=OFF, 01=ON)"
"1A","05,0124","00/01","SET > Connectors > SEND Output > Send/read the 430M setting (00=OFF, 01=ON)"
"1A","05,0125","00 ~ 04","SET > Connectors > USB SEND/Keying > Send/read the USB SEND setting (00=OFF, 01=USB (A) DTR, 02=USB (A) RTS, 03=USB (B) DTR, 04=USB (B) RTS) (You cannot select the terminal which is already selected in the ""USB Keying (CW)"" or ""USB Keying (RTTY)"" item.)"
"1A","05,0126","00 ~ 04","SET > Connectors > USB SEND/Keying > Send/read the USB Keying (CW) setting (00=OFF, 01=USB (A) DTR, 02=USB (A) RTS, 03=USB (B) DTR, 04=USB (B) RTS) (You cannot select the terminal which is already selected in the ""USB SEND"" or ""USB Keying (RTTY)"" item.)"
"1A","05,0127","00 ~ 04","SET > Connectors > USB SEND/Keying > Send/read the USB Keying (RTTY) setting (00=OFF, 01=USB (A) DTR, 02=USB (A) RTS, 03=USB (B) DTR, 04=USB (B) RTS) (You cannot select the terminal which is already selected in the ""USB SEND"" or ""USB Keying (CW)"" item.)"
"1A","05,0128","00/01","SET > Connectors > External Keypad > Send/read the VOICE setting (00=OFF, 01=ON)"
"1A","05,0129","00/01","SET > Connectors > External Keypad > Send/read the KEYER setting (00=OFF, 01=ON)"
"1A","05,0130","00/01","SET > Connectors > External Keypad > Send/read the RTTY setting (00=OFF, 01=ON)"
"1A","05,0131","00/01","SET > Connectors > CI-V > Send/read the CI-V Transceive setting (00=OFF, 01=ON)"
"1A","05,0132","00/01","SET > Connectors > CI-V > Send/read the CI-V USB Echo Back setting (00=OFF, 01=ON)"
"1A","05,0133","00 ~ 03","SET > Connectors > USB (B) Function > Send/read the USB (B) Function setting (00=OFF, 01=RTTY Decode, 02=DV Data, 03=Weather)"
"1A","05,0134","00/01","SET > Connectors > USB (B) Function > Send/read the GPS Out setting (00=OFF, 01=ON) (Valid when ""USB (B) Function"" is set to ""OFF"" or ""DV Data."")"
"1A","05,0135","00/01","SET > Connectors > Send/read the MIC Jack 8V Output setting (00=OFF, 01=ON)"
"1A","05,0136","0000 ~ 0255","SET > Display > Send/read the LCD Backlight setting (0000=0% ~ 0255=100%)"
"1A","05,0137","00/01","SET > Display > Send/read the LCD Backlight Auto Adjust setting (00=OFF, 01=ON)"
"1A","05,0138","00 ~ 06","SET > Display > Send/read the Screen Saver (Battery Pack) setting (00=OFF, 01=1min, 02=2min, 03=5min, 04=15min, 05=30min, 06=60min)"
"1A","05,0139","00 ~ 06","SET > Display > Send/read the Screen Saver (DC 13.8 V) setting (00=OFF, 01=1min, 02=2min, 03=5min, 04=15min, 05=30min, 06=60min)"
"1A","05,0140","00/01","SET > Display > Send/read the Screen OFF [POWER] Switch setting (00=OFF, 01=ON)"
"1A","05,0141","00/01","SET > Display > Send/read the RX LED setting (00=OFF, 01=ON)"
"1A","05,0142","00/01","SET > Display > Send/read the Meter Peak Hold setting (00=OFF, 01=ON)"
"1A","05,0143","00/01","SET > Display > Send/read the Memory Name setting (00=OFF, 01=ON)"
"1A","05,0144","00/01","SET > Display > Send/read the Group Name Popup setting (00=OFF, 01=ON)"
"1A","05,0145","00 ~ 03","SET > Display > Send/read the RX Call Sign Display setting (00=OFF, 01=Normal, 02=RX Hold, 03=Hold)"
"1A","05,0146","00/01","SET > Display > Send/read the RX Position Indicator setting (00=OFF, 01=ON)"
"1A","05,0147","00/01","SET > Display > Send/read the RX Position Display setting (00=OFF, 01=ON)"
"1A","05,0148","00 ~ 04","SET > Display > Send/read the RX Position Display Timer setting (00=5sec, 01=10sec, 02=15sec, 03=30sec, 04=Hold)"
"1A","05,0149","00/01","SET > Display > Send/read the Reply Position Display setting (00=OFF, 01=ON)"
"1A","05,0150","00/01","SET > Display > Send/read the RX Picture Indicator setting (00=OFF, 01=ON)"
"1A","05,0151","00/01","SET > Display > Send/read the DV RX Backlight setting (00=OFF, 01=ON)"
"1A","05,0152","00 ~ 02","SET > Display > Send/read the TX Call Sign Display setting (00=OFF, 01=Your Call Sign, 02=My Call Sign)"
"1A","05,0153","00/01","SET > Display > Send/read the Scroll Speed setting (00=Slow, 01=Fast)"
"1A","05,0154","00/01","SET > Display > Send/read the Opening Message setting (00=OFF, 01=ON)"
