"Cmd.","Sub cmd.","Data","Description","Band"
"00","","See p. 17",". Send the frequency data (transceive)",""
"01","00","","~ 02 Send/read the Antenna tuner setting (00=OFF, 01=ON, 02=Tune)",""
"01","","","Turn ON the transceiver",""
"01","","See p. 17",". Send the mode data (transceive)",""
"02","","See p. 17",". Read the band edge frequencies",""
"02","00/01","","Send/read the Transmit frequency monitor (XFC) (00=OFF, 01=ON)",""
"03","","See p. 17",". Read the operating frequency",""
"03","SEE","","p. 17. Send/read user-set TX band edge frequencies",""
"04","","See p. 17",". Read the operating mode",""
"05","","See p. 17",". Set the operating frequency",""
"06","","See p. 17",". Set the operating mode",""
"07","00","","Select VFO A","29"
"07","01","","Send/read Sub band selection",""
"07","B0","","Exchange Main and Sub bands",""
"07","B1","","Equalize Main and Sub bands",""
"07","C0","","Turn OFF Dualwatch",""
"07","C1","","Turn ON Dualwatch",""
"07","C2","00/01","Send/read the Dualwatch setting (00=OFF, 01=ON)",""
"07","D0","","Select the Main band",""
"07","D1","","Select the Sub band",""
"07","D2","00","Send/read Main band selection",""
"07","","","Select the VFO mode","29"
"08","00","01 ~ 00 99","Select the Memory channel (00 01=M-CH01, 00 99=M-CH99)",""
"08","01","00","Select program scan edge channel P1",""
"08","01","01","Select program scan edge channel P2",""
"08","","","Select the Memory mode",""
"09","","","Memory write",""
"0A","","","Memory copy to VFO",""
"0B","","","Memory clear",""
"0E","01","","Start a Programmed/memory scan",""
"0E","02","","Start a Programmed scan",""
"0E","03","","Start a ∂F scan",""
"0E","12","","Start a Fine programmed scan",""
"0E","13","","Start a Fine ∂F scan",""
"0E","22","","Start a Memory scan",""
"0E","23","","Start a Select memory scan",""
"0E","B0","","Clear the Select channel setting",""
"0E","B1","","Set as select channel",""
"0E","B1","01 ~ 03","Set the channel as a Select channel (01=SEL1, 02=SEL2, 03=SEL3)",""
"0E","B2","00 ~ 03","Set the Select memory scan channel (00=ALL, 01=SEL1, 02=SEL2, 03=SEL3)",""
"0E","D0","","Set Scan resume OFF",""
"0E","D3","","Set Scan resume ON (Close&Delay)",""
"0E","","00","Cancel the scan",""
"0E","Ax","x=1 ~ 7","Select ∂F scan span (x=1 (±5kHz), x=2 (±10kHz), x=3 (±20kHz), x=4 (±50kHz), x=5 (±100kHz), x=6 (±500kHz), x=7 (±1MHz))",""
"0F","","00","Set Split function OFF",""
"0F","","00/01","Read Split setting (00=Split OFF, 01=Split ON)",""
"0F","","01","Set Split function ON",""
"10","00","00 ~ 08","Send/read the tuning step (00=OFF (10Hz or 1Hz), 01=100Hz, 02=1kHz, 03=5kHz, 04=9kHz, 05=10kHz, 06=12.5kHz, 07=20kHz, 08=25kHz)",""
"11","00","","Send/read attenuator OFF setting","29"
"11","03","","Send/read 3 dB attenuator setting","29"
"11","06","","Send/read 6 dB attenuator setting","29"
"11","09","","Send/read 9 dB attenuator setting","29"
"11","12","","Send/read 12 dB attenuator setting","29"
"11","15","","Send/read 15 dB attenuator setting","29"
"11","18","","Send/read 18 dB attenuator setting","29"
"11","21","","Send/read 21 dB attenuator setting","29"
"11","24","","Send/read 24 dB attenuator setting","29"
"11","27","","Send/read 27 dB attenuator setting","29"
"11","30","","Send/read 30 dB attenuator setting","29"
"11","33","","Send/read 33 dB attenuator setting","29"
"11","36","","Send/read 36 dB attenuator setting","29"
"11","39","","Send/read 39 dB attenuator setting","29"
"11","42","","Send/read 42 dB attenuator setting","29"
"11","45","","Send/read 45 dB attenuator setting","29"
"12","00","00/01","Select/read ANT1 selection (00=RX ANT OFF, 01=RX ANT ON)",""
"12","01","00/01","Select/read ANT2 selection (00=RX ANT OFF, 01=RX ANT ON)",""
"12","02","00/01","Select/read ANT3 selection (00=RX ANT OFF, 01=RX ANT ON)",""
"12","03","00/01","Select/read ANT4 selection (00=RX ANT OFF, 01=RX ANT ON)",""
"12","","","Start a Fine programmed scan",""
"13","","","Start a Fine ∂F scan",""
"14","01","29","00 00 ~ 02 55 Send/read the AF level (00 00=Minimum ~ 02 55=Maximum)",""
"14","02","","41=S9+60 dB)",""
"14","02","00 00 ~ 02 55","Send/read the RF gain level (00 00=Minimum ~ 02 55=Maximum)","29"
"14","03","00 00 ~ 02 55","Send/read the squelch level (00 00=Minimum ~ 02 55=Maximum)","29"
"14","05","00 00 ~ 02 55","Send/read the APF position (10 Hz steps) ( 00 00=Pitch–550 Hz, 01 28=Pitch","29"
"14","05","00/01","Read various squelch (tone squelch, and so on) status (00=Close, 01=Open)","29"
"14","05","02","55=Pitch+550 Hz)","29"
"14","06","00 00 ~ 02 55","Send/read the NR level (00 00=0% ~ 02 55=100%)","29"
"14","07","00 00 ~ 02 55","Send/read [TWIN PBT] (PBT1) position ( 00 00=max. Counter Clockwise ~","29"
"14","07","00/01","Read the OVF status ( 00=OVF indicator is OFF, 01=OVF indicator is ON)","29"
"14","07","01","28=center ~ 02 55=max. Clockwise)","29"
"14","08","00 00 ~ 02 55","Send/read [TWIN PBT] (PBT2) position ( 00 00=max. Counter Clockwise ~","29"
"14","08","01","28=center ~ 02 55=max. Clockwise)","29"
"14","09","00 00 ~ 02 55","Send/read CW pitch (5 Hz steps) ( 00 00=300 Hz ~ 01 28=600 Hz ~",""
"14","09","02","55=900 Hz)",""
"14","0A","00 00 ~ 02 55","Send/read the selected band’s RF power (00 00=Minimum ~ 02 55=Maximum)",""
"14","0B","00 00 ~ 02 55","Send/read MIC gain (00 00=Minimum ~ 02 55=Maximum)",""
"14","0C","00 00 ~ 02 55","Send/read keying speed (00 00=6 WPM ~ 02 55=48 WPM)",""
"14","0D","00 00 ~ 02 55","Send/read Notch filter setting ( 00 00=max. Counter Clockwise ~","29"
"14","0D","01","28=center ~ 02 55=max. Clockwise)","29"
"14","0E","00 00 ~ 02 55","Send/read the COMP level (00 00=0 ~ 02 55=10)",""
"14","0F","00 00 ~ 02 55","Send/read the Break-IN Delay setting (00 00=2.0d ~ 02 55=13.0d)",""
"14","11","00 00 ~ 02 55","Read the Po meter level ( 00 00=0W ~ 01 43=100W ~",""
"14","11","02","12=200W)",""
"14","12","00","80=SWR2.0, 01 20=SWR3.0)",""
"14","12","00 00 ~ 02 55","Send/read NB level (00 00=0% ~ 02 55=100%)","29"
"14","13","00 00 ~ 02 55","Send/read the DIGI-SEL shift amount (00 00=min. ~ 02 55=max.)","29"
"14","14","00 00 ~ 02 55","Send/read DRIVE Gain (00 00=0% ~ 02 55=100%)",""
"14","14","02","41=30 dB)",""
"14","15","00 00 ~ 02 55","Send/read Monitor audio [MONI] level (00 00=0% ~ 02 55=100%)",""
"14","15","29","00/01 Read noise or S-meter squelch status (00=Close, 01=Open)","01"
"14","16","00 00 ~ 02 55","Send/read the VOX gain (00 00=0% ~ 02 55=100%)",""
"14","16","01","65=10 A ~ 02 41=15 A)",""
"14","17","00 00 ~ 02 55","Send/read the Anti VOX gain (00 00=0% ~ 02 55=100%)",""
"14","19","00 00 ~ 02 55","Send/read LCD backlight brightness (00 00=0% ~ 02 55=100%)",""
"15","01","00/01","Read noise or S-meter squelch status (00=Close, 01=Open)","29"
"15","02","00 00 ~ 02 55","Read S-meter level (00 00=S0, 01 20=S9, 02 41=S9+60 dB)","29"
"15","05","00/01","Read various squelch (tone squelch, and so on) status (00=Close, 01=Open)","29"
