"Cmd.","Sub cmd.","Data","Description","Band"
"15","07","00/01","Read the OVF status (00=OVF indicator is OFF, 01=OVF indicator is ON)","29"
"15","11","00 00 ~ 02 55","Read the Po meter level (00 00=0W ~ 01 43=100W ~ 02 12=200W)",""
"15","12","00 00 ~ 02 55","Read SWR meter level (00 00=SWR1.0, 00 48=SWR1.5, 00 80=SWR2.0, 01 20=SWR3.0)",""
"15","13","00 00 ~ 02 55","Read ALC meter level (00 00=Minimum ~ 01 20=Maximum)",""
"15","14","00 00 ~ 02 55","Read COMP meter level (00 00=0 dB ~ 01 30=15 dB ~ 02 41=30 dB)",""
"15","15","00 00 ~ 02 55","Read Vd meter level (00 00=0 V ~ 01 51=44 V ~ 02 11=52 V)",""
"15","16","00 00 ~ 02 55","Read Id meter level (00 00=0 A ~ 00 77=5 A ~ 01 65=10 A ~ 02 41=15 A)",""
"16","02","","Preamp 2 ON",""
"16","02","01","Preamp 1 ON",""
"16","02","29","00 Preamp OFF",""
"16","12","01 ~ 03","Send/read the AGC time constant (01=FAST, 02=MID, 03=SLOW)","29"
"16","22","00/01","Send/read the Noise blanker (00=OFF, 01=ON)","29"
"16","32","00","Audio peak filter OFF","29"
"16","32","01","Audio peak filter WIDE ON (320 Hz is selected when SHARP APF is set)","29"
"16","32","02","Audio peak filter MID ON (160 Hz is selected when SHARP APF is set)","29"
"16","32","03","Audio peak filter NAR ON (80 Hz is selected when SHARP APF is set)","29"
"16","40","00/01","Send/read the Noise reduction (00=OFF, 01=ON)","29"
"16","41","00/01","Send/read the Auto Notch function (00=OFF, 01=ON)","29"
"16","42","00/01","Send/read the Repeater tone (00=OFF, 01=ON)","29"
"16","43","00/01","Send/read the Tone squelch (00=OFF, 01=ON)","29"
"16","44","00/01","Send/read the Speech compressor (00=OFF, 01=ON)",""
"16","45","00/01","Send/read the Monitor [MONI] function (00=OFF, 01=ON)",""
"16","46","00/01","Send/read the VOX function (00=OFF, 01=ON)",""
"16","47","00","BK-IN function OFF",""
"16","47","01","Semi BK-IN function ON",""
"16","47","02","Full BK-IN function ON",""
"16","48","00/01","Send/read the Manual Notch function (00=OFF, 01=ON)","29"
"16","4E","00/01","Send/read the DIGI-SEL function (00=OFF, 01=ON)","29"
"16","4F","00/01","Send/read the Twin peak filter (00=OFF, 01=ON) ( Can be turned ON only when Mark and Shift are set to 2125 Hz and","29"
"16","50","00/01","Send/read the Dial Lock function (00=OFF, 01=ON) LThe main dial or panel display is locked, depending on the Lock Function (1A 05 00 77). 53 00/01 Send/read the ANT-RX I/O (00=OFF, 01=ON)",""
"16","56","00/01","Send/read DSP IF filter type (00=SHARP, 01=SOFT)","29"
"16","57","00 ~ 02","Send/read the Manual Notch width (00=WIDE, 01=MID, 02=NAR)","29"
"16","58","00 ~ 02","Send/read SSB transmit bandwidth (00=WIDE, 01=MID, 02=NAR) ( One of the following values is applied, depending on the “COMP” status (ON or OFF): WIDE (Command: 1A 05 00 15), MID (Command: 1A 05 00 16), or NAR (Command: 1A 05 00 17))",""
"16","5E","00/01","MAIN/SUB Tracking function (00=OFF, 01=ON)",""
"16","65","00/01","Set the IP Plus function (00=OFF, 01=ON)","29"
"16","66","00/01","Send/read the TX Inhibit function (00=OFF, 01=ON)",""
"16","67","00/01","Send/read the DPD function (00=OFF, 01=ON)",""
"16","170","","Hz, respectively)",""
"17","","See p. 17",". Send CW messages",""
"18","00","","Turn OFF the transceiver",""
"18","01","","Turn ON the transceiver",""
"19","","00","Read the transceiver ID",""
"1A","00","01","See p. 20. RX > SSB > Send/read RX HPF/LPF settings",""
"1A","00","02","00 ~ 10 RX > SSB > Send/read RX Tone (Bass) level (00=–5 ~ 10=+5)",""
"1A","00","03","00 ~ 10 RX > SSB > Send/read RX Tone (Treble) level (00=–5 ~ 10=+5)",""
"1A","00","04","See p. 20. RX > AM > Send/read RX HPF/LPF settings",""
"1A","00","05","00 ~ 10 RX > AM > Send/read RX Tone (Bass) level (00=–5 ~ 10=+5)",""
"1A","00","06","00 ~ 10 RX > AM > Send/read RX Tone (Treble) level (00=–5 ~ 10=+5)",""
"1A","00","07","See p. 20. RX > FM > Send/read RX HPF/LPF settings",""
"1A","00","08","00 ~ 10 RX > FM > Send/read RX Tone (Bass) level (00=–5 ~ 10=+5)",""
"1A","00","09","00 ~ 10 RX > FM > Send/read RX Tone (Treble) level (00=–5 ~ 10=+5)",""
"1A","00","10","See p. 20. RX > CW > Send/read RX HPF/LPF settings",""
"1A","00","11","See p. 20. RX > RTTY > Send/read RX HPF/LPF settings",""
"1A","00","12","See p. 20. RX > PSK > Send/read RX HPF/LPF settings",""
"1A","00","See p. 23",". Send/read the Repeater tone frequency",""
"1A","01","See p. 18",". Send/read band stacking register contents",""
"1A","01","See p. 23",". Send/read the TSQL tone frequency",""
"1A","02","01","00 00 ~ 23 Date/Time > Send/read the Time setting (00 00=00:00 ~ 23 59=23:59)",""
"1A","02","02","00/01 Date/Time > Send/read the NTP Function setting (00=OFF, 01=ON)",""
"1A","02","03","See p. 19. Date/Time > Send/read the NTP Server Address setting (Up to 64 characters)",""
"1A","02","04","See p. 22. Send/read the UTC Offset setting",""
"1A","02","05","00/01 Send/read the CLOCK2 Function setting (00=OFF, 01=ON)",""
"1A","02","06","See p. 22. Send/read the CLOCK2 UTC Offset setting",""
"1A","02","07","See p. 19. Send/read the CLOCK2 Name setting (Up to 3 characters) SCOPE SET: SCOPE > EXPD/SET (Touch for 1 second)",""
"1A","02","08","00/01 Send/read the Scope during Tx (CENTER Type) setting (00=OFF, 01=ON)",""
"1A","02","09","00 ~ 02 Send/read the Max Hold setting (00=OFF, 01=10s Hold , 02=ON)",""
"1A","02","10","00 ~ 02 Send/read the CENTER Type Display setting ( 00=Filter center, 01=Carrier point center, 02=Carrier point center (Abs. Freq.))",""
"1A","02","11","00/01 Send/read the Marker Position (Fix Type/ SCROLL Type) setting (00=Filter center, 01 Carrier point)",""
"1A","02","12","00 ~ 02 Send/read the Averaging setting (00=OFF, 01=2, 02=3, 03=4)",""
"1A","02","13","00/01 Send/read the Waveform Type setting (00=Fill, 01=Fill+Line)",""
"1A","02","See p. 20",". Send/read memory keyer contents",""
"1A","03","29","See p. 20. Send/read the selected IF filter width",""
"1A","04","29","See p. 20. Send/read the selected AGC time constant",""
"1A","05","","SET > Tone Control/TBW",""
"1A","05,0013","00 ~ 10","TX > SSB > Send/read TX Tone (Bass) level (00=–5 ~ 10=+5)",""
"1A","05,0014","00 ~ 10","TX > SSB > Send/read TX Tone (Treble) level (00=–5 ~ 10=+5)",""
"1A","05,0015","See p. 20",". TX > SSB > Send/read TX bandwidth for wide",""
"1A","05,0016","See p. 20",". TX > SSB > Send/read TX bandwidth for mid",""
"1A","05,0017","See p. 20",". TX > SSB > Send/read TX bandwidth for narrow",""
"1A","05,0018","See p. 20",". TX > SSB-D > Send/read TX bandwidth",""
"1A","05,0019","00 ~ 10","TX > AM > Send/read TX Tone (Bass) level (00=–5 ~ 10=+5)",""
"1A","05,0020","00 ~ 10","TX > AM > Send/read TX Tone (Treble) level (00=–5 ~ 10=+5)",""
"1A","05,0021","00 ~ 10","TX > FM > Send/read TX Tone (Bass) level (00=–5 ~ 10=+5)",""
"1A","05,0022","00 ~ 10","TX > FM > Send/read TX Tone (Treble) level (00=–5 ~ 10=+5) SET > Function",""
"1A","05,0023","00 00 ~ 02 55","Send/read the Beep Level setting (00 00=Minimum ~ 02 55=Maximum)",""
"1A","05,0024","00/01","Send/read the Beep Level Limit setting (00=OFF, 01=ON)",""
"1A","05,0025","00/01","Send/read the Beep (Confirmation) setting (00=OFF, 01=ON)",""
"1A","05,0026","00 ~ 03","Send/read the Band Edge Beep setting ( 00=OFF, 01=ON (Default), 02=ON (User), 03=ON (User) & TX Limit)",""
"1A","05,0027","00 50 ~ 02 00","Function > Beep Sound (MAIN) (00 50=500 Hz ~ 02 00=2000 Hz)",""
"1A","05,0028","00 50 ~ 02 00","Function > Beep Sound (SUB) (00 50=500 Hz ~ 02 00=2000 Hz)",""
"1A","05,0029","00/01","Send/read the Speaker MAIN/SUB Mix (00=OFF, 01=ON)",""
"1A","05,0030","00 ~ 02","RF/SQL Control (00=Auto, 01=SQL, 02=RF+SQL)",""
"1A","05,0031","00/01","Send/read the Cancel CI-V Remote Set Levels ( 00=All Volume Levels, 01=Operated Volume Level)",""
"1A","05,0032","00 02 ~ 02 00","TX Power Limit > 1.8M (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0033","00 02 ~ 02 00","TX Power Limit > 1.8M (DATA) (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0034","00 02 ~ 02 00","TX Power Limit > 3.5M (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0035","00 02 ~ 02 00","TX Power Limit > 3.5M (DATA) (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0036","00 02 ~ 02 00","TX Power Limit > 5M (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0037","00 02 ~ 02 00","TX Power Limit > 5M (DATA) (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0038","00 02 ~ 02 00","TX Power Limit > 7M (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0039","00 02 ~ 02 00","TX Power Limit > 7M (DATA) (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0040","00 02 ~ 02 00","TX Power Limit > 10M (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0041","00 02 ~ 02 00","TX Power Limit > 10M (DATA) (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0042","00 02 ~ 02 00","TX Power Limit > 14M (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0043","00 02 ~ 02 00","TX Power Limit > 14M (DATA) (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0044","00 02 ~ 02 00","TX Power Limit > 18M (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0045","00 02 ~ 02 00","TX Power Limit > 18M (DATA) (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0046","00 02 ~ 02 00","TX Power Limit > 21M (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0047","00 02 ~ 02 00","TX Power Limit > 21M (DATA) (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0048","00 02 ~ 02 00","TX Power Limit > 24M (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0049","00 02 ~ 02 00","TX Power Limit > 24M (DATA) (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0050","00 02 ~ 02 00","TX Power Limit > 28M (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0051","00 02 ~ 02 00","TX Power Limit > 28M (DATA) (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0052","00 02 ~ 02 00","TX Power Limit > 50M (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0053","00 02 ~ 02 00","TX Power Limit > 50M (DATA) (00 02=2 W ~ 02 00=200 W)",""
"1A","05,0054","00 ~ 05","TX Delay > HF ( 00=OFF, 01=10 ms, 02=15 ms, 03=20 ms, 04=25 ms, 05=30 ms)",""
"1A","05,0055","00 ~ 05","TX Delay > 50M ( 00=OFF, 01=10 ms, 02=15 ms, 03=20 ms, 04=25 ms, 05=30 ms)",""
"1A","05,0056","00 ~ 05","Send/read the Time-Out Timer (CI-V) setting ( 00=OFF, 01=3 min, 02=5 min, 03=10 min, 04=20 min, 05=30 min)",""
"1A","05,0057","00/01","Send/read the Quick Dualwatch (00=OFF, 01=ON)",""
"1A","05,0058","00/01","SPLIT > Send/read the Quick SPLIT setting ( 00=OFF, 01=ON)",""
"1A","05,0059","00/01","SPLIT > Display Keypad on Quick SPLIT (00=OFF, 01=ON)",""
"1A","05,0060","See p. 21",". SPLIT > FM SPLIT Offset (HF)",""
"1A","05,0061","See p. 21",". SPLIT > FM SPLIT Offset (50M)",""
"1A","05,0062","00/01","SPLIT > Send/read the SPLIT LOCK setting ( 00=OFF, 01=ON)",""
"1A","05,0063","00/01","Tuner > Send/read the PTT Start setting (00=OFF, 01=ON)",""
"1A","05,0064","00/01","Send/read the Transverter Function setting (00=Auto, 01=ON)",""
"1A","05,0065","See p. 21",". Send/read the Transverter Offset setting",""
"1A","05,0066","00/01","Send/read the IC-PW2 Dual Connection Mode setting (00=OFF, 01=ON)",""
"1A","05,0067","00 ~ 02","Send/read the RTTY Mark Frequency setting ( 00=1275 Hz, 01=1615 Hz, 02=2125 Hz)",""
"1A","05,0068","00 ~ 02","Send/read the RTTY Shift Width setting ( 00=170 Hz, 01=200 Hz, 02=425 Hz)",""
"1A","05,0069","00/01","Send/read the RTTY Keying Polarity setting ( 00=Normal, 01=Reverse)",""
"1A","05,0070","00 ~ 02","Send/read the PSK Tone Frequency setting ( 00=1000 Hz, 01=1500 Hz, 02=2000 Hz)",""
"1A","05,0071","00/01","SPEECH > Send/read the SPEECH Language setting ( 00=English, 01=Japanese)",""
"1A","05,0072","00/01","SPEECH > Send/read the SPEECH Speed setting ( 00=Slow, 01=Fast)",""
"1A","05,0073","00/01","SPEECH > Send/read the S-Level SPEECH setting ( 00=OFF, 01=ON)",""
"1A","05,0074","00/01","SPEECH > Send/read the MODE SPEECH setting ( 00=OFF, 01=ON)",""
"1A","05,0075","00 00 ~ 02 55","SPEECH > Send/read the SPEECH Level setting ( 00 00=0% ~ 02 55=100%)",""
"1A","05,0076","00/01","Send/read the [SPEECH/LOCK] Switch setting ( 00=SPEECH/LOCK, 01=LOCK/SPEECH)",""
"1A","05,0077","00/01","Send/read the Lock Function setting ( 00=MAIN DIAL, 01=PANEL)",""
"1A","05,0078","00/01","Send/read the Memo Pad Quantity setting ( 00=5 ch, 01=10 ch)",""
"1A","05,0079","00 ~ 02","Send/read the MAIN DIAL Auto TS setting (00=OFF, 01=Low, 02=High)",""
"1A","05,0080","00/01","Send/read the MAIN DIAL Select (USB DIAL–SUB Only) setting (00=Main only, 01=Main/Sub)",""
"1A","05,0081","00/01","Send/read the MIC Up/Down Speed setting ( 00=LOW, 01=HIGH)",""
"1A","05,0082","00/01","Send/read the Quick RIT/∂TX Clear setting (00=OFF, 01=ON)",""
"1A","05,0083","00 ~ 02","Send/read the [NOTCH] Switch (SSB) setting (00=Auto, 01=Manual, 02=Auto/Manual)",""
"1A","05,0084","00 ~ 02","Send/read the [NOTCH] Switch (AM) setting (00=Auto, 01=Manual, 02=Auto/Manual)",""
"1A","05,0085","00/01","Send/read the FILTER Screen MAIN/SUB Select setting ( 00=Fix, 01=Auto (by FILTER, PBT Operation))",""
"1A","05,0086","00/01","Send/read the SSB/CW Synchronous Tuning setting (00=OFF, 01=ON)",""
"1A","05,0087","00/01","Send/read the CW Normal Side setting (00=LSB, 01=USB) SET > Function > Front Key Customize",""
"1A","05,0088","See p. 21",". Send/read the [VOX/BK-IN] Key setting",""
"1A","05,0089","See p. 21",". Send/read the [AUTOTUNE] Key setting SET > Function > MIC Key Customize",""
"1A","05,0090","See p. 21",". Send/read the [UP] Key setting",""
"1A","05,0091","See p. 21",". Send/read the [DN] Key setting SET > Function",""
"1A","05,0092","00/01","Send/read the Screen Keyboard Type setting (00=Ten-key, 01=Full Keyboard)",""
"1A","05,0093","00 ~ 02","Send/read the Screen Full Keyboard Layout setting ( 00=English, 01=German, 02=French)",""
"1A","05,0094","00/01","Send/read the Screen Capture [POWER] Switch setting (00=OFF, 01=ON)",""
"1A","05,0095","00/01","Send/read the Screen Capture Keyboard [Print Screen] setting (00=OFF, 01=ON)",""
"1A","05,0096","00/01","Send/read the Screen Capture Storage Media setting (00=SD Card, 01=USB flash drive)",""
"1A","05,0097","00/01","Send/read the Screen Capture File Type setting (00=PNG, 01=BMP)",""
"1A","05,0098","00/01","Send/read the Calibration Marker setting (00=OFF, 01=ON)",""
"1A","05,0099","00 00 ~ 05 11","Send/read the REF Adjust setting (00 00=0%, 05 11=100%) SET > Connectors",""
"1A","05,0100","00 ~ 30","Phones > Send/read the Level setting (00=–15 dB ~ 30=+15 dB)",""
"1A","05,0101","00/01","Phones > Send/read the L/R Mix setting (00=OFF, 01=ON)",""
"1A","05,0102","00 00 ~ 02 55","Phones > Send/read the Phone L/R Mix Level setting (00 00=0% ~ 02 55=100%)",""
"1A","05,0103","00/01","USB AF/IF Output > Send/read the Output Select setting (00=AF, 01=IF)",""
"1A","05,0104","00/01","USB AF/IF Output > Send/read the AF/IF XFC Output (SPLIT ON) setting (00=MAIN, 01=SUB)",""
"1A","05,0105","00 00 ~ 02 55","USB AF/IF Output > Send/read the AF Output Level setting (00 00=0% ~ 02 55=100%)",""
"1A","05,0106","00/01","USB AF/IF Output > Send/read the AF SQL setting (00=OFF (Open), 01=ON)",""
"1A","05,0107","00/01","USB AF/IF Output > Send/read the AF Beep/Speech... Output setting (00=OFF, 01=ON)",""
"1A","05,0108","00 00 ~ 02 55","USB AF/IF Output > Send/read the IF Output Level setting ( 00 00=0% ~ 02 55=100%)",""
"1A","05,0109","00/01","LINE-OUT AF/IF Output > Send/read the AF Output Select setting (00=MAIN, 01=SUB)",""
"1A","05,0110","00/01","LINE-OUT AF/IF Output > Send/read the Output Select setting (00=AF, 01=IF)",""
"1A","05,0111","00/01","LINE-OUT AF/IF Output > Send/read the AF/IF XFC Output (SPLIT ON) setting (00=MAIN, 01=SUB)",""
"1A","05,0112","00 00 ~ 02 55","LINE-OUT AF/IF Output > Send/read the AF Output Level setting (00 00=0% ~ 02 55=100%)",""
"1A","05,0113","00/01","LINE-OUT AF/IF Output > Send/read the AF SQL setting (00=OFF (Open), 01=ON)",""
"1A","05,0114","00/01","LINE-OUT AF/IF Output > Send/read the AF Beep/Speech... Output setting (00=OFF, 01=ON)",""
"1A","05,0115","00 00 ~ 02 55","LINE-OUT AF/IF Output > Send/read the IF Output Level setting ( 00 00=0% ~ 02 55=100%)",""
"1A","05,0116","00/01","ACC AF/IF Output > Send/read the AF/SQL Output Select setting (00=MAIN, 01=SUB)",""
"1A","05,0117","00/01","ACC AF/IF Output > Send/read the Output Select setting (00=AF, 01=IF)",""
"1A","05,0118","00/01","ACC AF/IF Output > Send/read the AF/IF XFC Output (SPLIT ON) setting (00=MAIN, 01=SUB)",""
"1A","05,0119","00 00 ~ 02 55","ACC AF/IF Output > Send/read the AF Output Level setting (00 00=0% ~ 02 55=100%)",""
"1A","05,0120","00/01","ACC AF/IF Output > Send/read the AF SQL setting (00=OFF (Open), 01=ON)",""
"1A","05,0121","00/01","ACC AF/IF Output > Send/read the AF Beep/Speech... Output setting (00=OFF, 01=ON)",""
"1A","05,0122","00 00 ~ 02 55","ACC AF/IF Output > Send/read the IF Output Level setting ( 00 00=0% ~ 02 55=100%)",""
"1A","05,0123","00/01","LAN AF/IF Output > Send/read the Output Select setting (00=AF, 01=IF)",""
"1A","05,0124","00/01","LAN AF/IF Output > Send/read the AF SQL setting (00=OFF (Open), 01=ON)",""
"1A","05,0125","00 00 ~ 02 55","MOD Input > Send/read the USB MOD Level setting (00 00=0% ~ 02 55=100%)",""
"1A","05,0126","00 00 ~ 02 55","MOD Input > Send/read the LINE-IN MOD Level setting (00 00=0% ~ 02 55=100%)",""
"1A","05,0127","00 00 ~ 02 55","MOD Input > Send/read the ACC MOD Level setting (00 00=0% ~ 02 55=100%)",""
"1A","05,0128","00 00 ~ 02 55","MOD Input > Send/read the LAN MOD Level setting (00 00=0% ~ 02 55=100%)",""
"1A","05,0129","00 ~ 09","MOD Input > Send/read the DATA OFF MOD setting ( 00=MIC, 01=USB, 02=LINE-IN, 03=ACC, 04=MIC, USB, 05=MIC, LINE-IN, 06=MIC, ACC, 07=MIC, USB, ACC, 08=MIC, LINE-IN, ACC, 09=LAN)",""
"1A","05,0130","00 ~ 09","MOD Input > Send/read the DATA1 MOD setting ( 00=MIC, 01=USB, 02=LINE-IN, 03=ACC, 04=MIC, USB, 05=MIC, LINE-IN, 06=MIC, ACC, 07=MIC, USB, ACC, 08=MIC, LINE-IN, ACC, 09=LAN)",""
"1A","05,0131","00 ~ 09","MOD Input > Send/read the DATA2 MOD setting ( 00=MIC, 01=USB, 02=LINE-IN, 03=ACC, 04=MIC, USB, 05=MIC, LINE-IN, 06=MIC, ACC, 07=MIC, USB, ACC, 08=MIC, LINE-IN, ACC, 09=LAN)",""
"1A","05,0132","00 ~ 09","MOD Input > Send/read the DATA3 MOD setting ( 00=MIC, 01=USB, 02=LINE-IN, 03=ACC, 04=MIC, USB, 05=MIC, LINE-IN, 06=MIC, ACC, 07=MIC, USB, ACC, 08=MIC, LINE-IN, ACC, 09=LAN)",""
