"Cmd.","Sub cmd.","Data","Description"
"00","","See p. 13","Send the frequency data (transceive)"
"01","","See p. 13","Send the mode data (transceive)"
"02","","See p. 13","Read the band edge frequencies"
"03","","See p. 13","Read the operating frequency"
"04","","See p. 13","Read the operating mode"
"05","","See p. 13","Set the operating frequency"
"06","","See p. 13","Set the operating mode"
"07","","","Select the VFO mode"
"07","00","","Select VFO A ( In the satellite mode, selects the VFO mode.)"
"07","01","","Select VFO B (In the satellite mode, ""FA"" (NG) is returned.)"
"07","A0","","Equalize VFO A and VFO B"
"07","B0","","Exchange MAIN and SUB Bands"
"07","D0","","Select the main band"
"07","D1","","Select the sub band"
"07","D2","00","Send/read main band selection"
"07","D2","01","Send/read sub band selection"
"08","","","Select the Memory mode"
"08","","0001 to 0099","Select the Memory channel (Including the satellite mode) (0001=M-CH01, 0099=M-CH99)"
"08","","0100 to 0105","Select program scan edge channel 1A/1B to 3A/3B ( 0100/0101 (1A ch/1B ch), 0104/0105 (3A ch/3B ch))"
"08","","0106, 0107","Select call channel C1/C2 (0106 (C1 ch), 0107 (C2 ch))"
"09","","","Memory write"
"0A","","","Memory copy to VFO"
"0B","","","Memory clear"
"0C","","See p. 13","Read frequency offset"
"0D","","See p. 13","Send frequency offset"
"0E","00","","Cancel the scan"
"0E","01","","Start a Programmed/memory scan"
"0E","02","","Start a Programmed scan"
"0E","03","","Start a ∂ F scan"
"0E","12","","Start a Fine programmed scan"
"0E","13","","Start a Fine ∂ F scan"
"0E","22","","Start a Memory scan"
"0E","23","","Start a Select memory scan"
"0E","24","","Start a Mode Select scan"
"0E","Ax","x=1 to 7","Select ∂ F scan span (x=1: ±5 kHz, x=2: ±10 kHz, x=3: ±20 kHz, x=4: ±50 kHz, x=5: ±100 kHz, x=6: ±500 kHz, x=7: ±1 MHz)"
"0E","B0","","Clear the Select channel setting"
"0E","B1","","Set as select channel (The previously set number by CI-V is set after turning power ON, or ""1"" is selected if no selection is performed)"
"0E","B1","01 to 03","Set the channel as a Select channel (01=SEL1, 02=SEL2, 03=SEL3)"
"0E","B2","00 to 03","Set the Select memory scan channel (00=ALL, 01=SEL1, 02=SEL2, 03=SEL3)"
"0E","D0","","Set Scan resume OFF"
"0E","D3","","Set Scan resume ON (Close&Delay)"
"0F","00","","Read Split OFF setting"
"0F","01","","Read Split ON setting"
"0F","11","","Read DUP– operation"
"0F","12","","Read DUP+ operation"
"0F","13","","Read DD Repeater Simplex mode (RPS)"
"0F","00","","Set Split function OFF"
"0F","01","","Set Split function ON"
"0F","10","","Set the simplex operation"
"0F","11","","Set DUP– operation"
"0F","12","","Set DUP+ operation"
"0F","13","","Set DD Repeater Simplex mode (RPS)"
"0F","10","00 to 11","Send/read the tuning step (00=OFF (10 Hz or 1 Hz), 01=100 Hz, 02=500 Hz, 03=1 kHz, 04=5 kHz, 05=6.25 kHz, 06=10 kHz, 07=12.5 kHz, 08=20 kHz, 09=25 kHz, 10=50 kHz, 11=100 kHz)"
"0F","11","00","Send/read attenuator OFF setting"
"0F","11","10","Send/read 10 dB attenuator setting"
"0F","13","00","Speech all data with voice synthesizer (S meter level, frequency and mode)"
"0F","13","01","Speech the operating frequency and S meter level by voice synthesizer"
"0F","13","02","Speech the operating mode by voice synthesizer (The mode is announced after the ongoing speech)"
"10","","00 to 11","Send/read the tuning step ( 00=OFF (10 Hz or 1 Hz), 01=100 Hz, 02=500 Hz, 03=1 kHz, 04=5 kHz, 05=6.25 kHz, 06=10 kHz, 07=12.5 kHz, 08=20 kHz, 09=25 kHz, 10=50 kHz, 11=100 kHz)"
"11","00","","Send/read attenuator OFF setting"
"11","10","","Send/read 10 dB attenuator setting"
"13","00","","Speech all data with voice synthesizer (S meter level, frequency and mode)"
"13","01","","Speech the operating frequency and S meter level by voice synthesizer"
"13","02","","Speech the operating mode by voice synthesizer L The mode is announced after the ongoing speech."
"14","01","0000 ~ 0255","Send/read the AF level (0000=Minimum to 0255=Maximum)"
"14","02","0000 ~ 0255","Send/read the RF gain level (0000=Minimum to 0255=Maximum)"
"14","03","0000 ~ 0255","Send/read the squelch level (0000=Minimum to 0255=Maximum)"
"14","06","0000 ~ 0255","Send/read the NR level (0000=0%, 0255=100%)"
"14","07","0000 ~ 0255","Send/read [TWIN PBT] (PBT1) position ( 0000=max. Counter Clockwise, 0128=center, 0255=max. Clockwise)"
"14","08","0000 ~ 0255","Send/read [TWIN PBT] (PBT2) position ( 0000=max. Counter Clockwise, 0128=center, 0255=max. Clockwise)"
"14","09","0000 ~ 0255","Send/read CW pitch (5 Hz steps) ( 0000=300 Hz, 0128=600 Hz, 0255=900 Hz)"
"14","0A","0000 ~ 0255","Send/read RF power (0000=Minimum to 0255=Maximum)"
"14","0B","0000 ~ 0255","Send/read MIC gain (0000=Minimum to 0255=Maximum)"
"14","0C","0000 ~ 0255","Send/read keying speed (0000=6 WPM to 0255=48 WPM)"
"14","0D","0000 ~ 0255","Send/read Notch filter setting ( 0000=max. Counter Clockwise, 0128=center, 0255=max. Clockwise)"
"14","0E","0000 ~ 0255","Send/read the COMP level (0000=0 to 0255=10)"
"14","0F","0000 ~ 0255","Send/read the Break-IN Delay setting (0000=2.0 d to 0255=13.0 d)"
"14","12","0000 ~ 0255","Send/read NB level (0000=0% to 0255=100%)"
