"Cmd.","Sub cmd.","Data","Description"
"14","15","0000 ~ 0255","Send/read Monitor audio [MONI] level (0000=0% to 0255=100%)"
"14","16","0000 ~ 0255","Send/read the VOX gain (0000=0% to 0255=100%)"
"14","17","0000 ~ 0255","Send/read the Anti VOX gain (0000=0% to 0255=100%)"
"14","19","0000 ~ 0255","Send/read LCD backlight brightness (0000=0% to 0255=100%)"
"15","","","Read various meter/squelch status"
"15","01","00 or 01","Read noise or S-meter squelch status (00=Close, 01=Open)"
"15","02","0000 to 0255","Read S-meter level (0000=S0, 0120=S9, 0241=S9+60 dB)"
"15","05","00 or 01","Read various squelch (tone squelch, and so on) status (00=Close, 01=Open)"
"15","07","00 or 01","Read the OVF status ( 00=OVF indicator is OFF, 01=OVF indicator is ON)"
"15","11","0000 ~ 0255","Read the PO meter level (0000=0% to 0143=50% to 0213=100%)"
"15","12","0000 ~ 0255","Read SWR meter level ( 0000=SWR1.0, 0048=SWR1.5, 0080=SWR2.0, 0120=SWR3.0)"
"15","13","0000 ~ 0255","Read ALC meter level (0000=Minimum to 0120=Maximum)"
"15","14","0000 ~ 0255","Read COMP meter level (0000=0 dB, 0130=15 dB, 0210=25.5 dB)"
"15","15","0000 ~ 0255","Read Vd meter level (0000=0 V, 0013=10 V, 0241=16 V)"
"15","16","0000 ~ 0255","Read Id meter level ( 0000=0 A, 0121=10 A, 0241=20 A)"
"16","02","00 to 03","Send/read the Preamp/External Preamp (00=P.AMP (OFF)/EXT-P.AMP (OFF), 01=P.AMP (ON)/EXT-P.AMP (OFF), 02=P.AMP (OFF)/EXT-P.AMP (ON), 03=P.AMP (ON)/EXT-P.AMP (ON))"
"16","12","01 to 03","Send/read the AGC time constant (01=FAST, 02=MID, 03=SLOW)"
"16","22","00 or 01","Send/read the Noise blanker (00=OFF, 01=ON)"
"16","40","00 or 01","Send/read the Noise reduction (00=OFF, 01=ON)"
"16","41","00 or 01","Send/read the Auto Notch function (00=OFF, 01=ON)"
"16","42","00 or 01","Send/read the Repeater tone (00=OFF, 01=ON)"
"16","43","00 or 01","Send/read the Tone squelch (00=OFF, 01=ON)"
"16","44","00 or 01","Send/read the Speech compressor (00=OFF, 01=ON)"
"16","45","00 or 01","Send/read the Monitor [MONI] function (00=OFF, 01=ON)"
"16","46","00 or 01","Send/read the VOX function (00=OFF, 01=ON)"
"16","47","00 to 02","Send/read the BK-IN function ( 00=BK-IN OFF, 01=Semi BK-IN ON, 02=Full BK-IN ON)"
"16","48","00 or 01","Send/read the Manual Notch function (00=OFF, 01=ON)"
"16","4A","00 or 01","Send/read the AFC function (00=OFF, 01=ON)"
"16","4B","00 or 01","Send/read the DTCS function (00=OFF, 01=ON)"
"16","4F","00 or 01","Send/read the Twin peak filter (00=OFF, 01=ON) ( Can be turned ON only when Mark and Shift are set to 2125 Hz and 170 Hz, respectively)"
"16","50","00 or 01","Send/read the Dial lock function (00=OFF, 01=ON)"
"16","56","00 or 01","Send/read the DSP IF filter type (00=SHARP, 01=SOFT)"
"16","57","00 to 02","Send/read the Manual Notch width (00=WIDE, 01=MID, 02=NAR)"
"16","58","00 to 02","Send/read SSB transmit bandwidth (00=WIDE, 01=MID, 02=NAR) ( One of following values is applied, depending on the ""COMP"" status (ON or OFF): WIDE (Command: 1A 05 0017), MID (Command: 1A 05 0018) or NAR (Command: 1A 05 0019))"
"16","59","00 or 01","Send/read the sub band (the Dualwatch function) (00=OFF, 01=ON)"
"16","5A","00 or 01","Send/read the satellite mode (00=OFF, 01=ON)"
"16","5B","00 to 02","Send/read the DSQL (Digital Call Sign squelch)/CSQL (Digital Code squelch) setting (DV mode only) ( 00=OFF, 01=DSQL,02=CSQL)"
"16","5C","00 to 02","Set the GPS TX mode (00= OFF, 01= D-PRS, 02= NMEA)"
"16","5D","00 to 03, 06 to 09","Set the Tone squelch function ( 00=OFF, 01=TONE, 02=TSQL, 03=DTCS, 06=DTCS (T), 07=TONE (T)/DTCS (R), 08=DTCS (T)/TSQL (R), 09=TONE (T)/TSQL (R))"
"16","65","00 or 01","Set the IP Plus function (00=OFF, 01=ON)"
"17","","See p. 10","Send CW messages"
"18","00","","Turn OFF the transceiver"
"18","01","","Turn ON the transceiver"
"19","00","","Read the transceiver ID"
"1A","00","See pp. 14, 15","Send/read memory contents"
"1A","01","See p. 15","Send/read band stacking register contents"
"1A","02","See pp. 15, 16","Send/read memory keyer contents"
"1A","03","See p. 16","Send/read the selected IF filter width"
"1A","04","See p. 16","Send/read the selected AGC time constant"
"1A","05,0002","00 to 10","SET > Tone Control/TBW > RX > Send/read SSB RX Tone (Bass) level"
"1A","05,0003","00 to 10","SET > Tone Control/TBW > RX > Send/read SSB RX Tone (Treble) level"
"1A","05,0004","See p. 16","SET > Tone Control/TBW > RX > Send/read AM RX HPF/LPF settings"
"1A","05,0005","00 to 10","SET > Tone Control/TBW > RX > Send/read AM RX Tone (Bass) level"
"1A","05,0006","00 to 10","SET > Tone Control/TBW > RX > Send/read AM RX Tone (Treble) level"
"1A","05,0007","See p. 16","SET > Tone Control/TBW > RX > Send/read FM RX HPF/LPF settings"
"1A","05,0008","00 to 10","SET > Tone Control/TBW > RX > Send/read FM RX Tone (Bass) level"
"1A","05,0009","00 to 10","SET > Tone Control/TBW > RX > Send/read FM RX Tone (Treble) level"
"1A","05,0010","See p. 16","SET > Tone Control/TBW > RX > Send/read DV RX HPF/LPF settings"
"1A","05,0011","00 to 10","SET > Tone Control/TBW > RX > Send/read DV RX Tone (Bass) level"
"1A","05,0012","00 to 10","SET > Tone Control/TBW > RX > Send/read Auto DV RX Tone (Treble) level"
"1A","05,0013","See p. 16","SET > Tone Control/TBW > RX > Send/read CW RX HPF/LPF settings"
"1A","05,0014","See p. 16","SET > Tone Control/TBW > RX > Send/read RTTY RX HPF/LPF settings"
"1A","05,0015","00 to 10","SET > Tone Control/TBW > TX > Send/read SSB TX Tone (Bass) level"
"1A","05,0016","00 to 10","SET > Tone Control/TBW > TX > Send/read SSB TX Tone (Treble) level"
"1A","05,0017","See p. 16","SET > Tone Control/TBW > TX > Send/read SSB TX bandwidth for wide"
"1A","05,0018","See p. 16","SET > Tone Control/TBW > TX > Send/read SSB TX bandwidth for mid"
"1A","05,0019","See p. 16","SET > Tone Control/TBW > TX > Send/read SSB TX bandwidth for narrow"
"1A","05,0020","See p. 16","SET > Tone Control/TBW > TX > SSB-D TX passband width"
"1A","05,0021","00 to 10","SET > Tone Control/TBW > TX > Send/read AM TX Tone (Bass) level"
"1A","05,0022","00 to 10","SET > Tone Control/TBW > TX > Send/read AM TX Tone (Treble) level"
"1A","05,0023","00 to 10","SET > Tone Control/TBW > TX > Send/read FM TX Tone (Bass) level"
"1A","05,0024","00 to 10","SET > Tone Control/TBW > TX > Send/read FM TX Tone (Treble) level"
"1A","05,0025","00 to 10","SET > Tone Control/TBW > TX > Send/read DV TX Tone (Bass) level"
"1A","05,0026","00 to 10","SET > Tone Control/TBW > TX > Send/read DV TX Tone (Treble) level"
"1A","05,0027","0000 ~ 0255","SET > Function > Beep Level (0000=Minimum to 0255=Maximum)"
"1A","05,0028","00 or 01","SET > Function > Beep Level Limit (00=OFF, 01=ON)"
"1A","05,0029","00 or 01","SET > Function > Beep (Confirmation) (00=OFF, 01=ON)"
"1A","05,0030","00 or 01","SET > Function > Band Edge Beep (00=OFF, 01=ON) ( ON = Beep sounds with a default amateur band)"
"1A","05,0030","02","SET > Function > Band Edge Beep (02=ON (User))"
"1A","05,0030","03","SET > Function > Band Edge Beep (03=ON (User) & TX Limit)"
"1A","05,0031","0050 ~ 0200","SET > Function > Beep Sound (MAIN) (0050=500 Hz to 0200=2000 Hz)"
"1A","05,0032","0050 ~ 0200","SET > Function > Beep Sound (SUB) (0050=500 Hz to 0200=2000 Hz)"
"1A","05,0033","00 or 01","SET > Function > Sub Band Mute (TX) > Speaker/Phones"
"1A","05,0034","00 or 01","SET > Function > Sub Band Mute (TX) > USB (00=OFF, 01=ON)"
"1A","05,0035","00 or 01","SET > Function > Sub Band Mute (TX) > LAN (00=OFF, 01=ON)"
"1A","05,0036","00 to 02","SET > Function > RF/SQL Control (00=Auto, 01=SQL, 02=RF+SQL)"
"1A","05,0037","00 or 01","SET > Function > FM/DV Center Error function"
"1A","05,0038","00 to 05","SET > Function > TX Delay > 144M (00=OFF, 01=10 ms, 02=15 ms, 03=20 ms, 04=25 ms, 05=30 ms)"
"1A","05,0039","00 to 05","SET > Function > TX Delay > 430M (00=OFF, 01=10 ms, 02=15 ms, 03=20 ms, 04=25 ms, 05=30 ms)"
"1A","05,0040","00 to 05","SET > Function > TX Delay > 1200M (00=OFF, 01=10 ms, 02=15 ms, 03=20 ms, 04=25 ms, 05=30 ms)"
"1A","05,0041","00 to 05","SET > Function > Time-Out Timer ( 00=OFF, 01=3 min., 02=5 min., 03=10 min., 04=20 min., 05=30 min.)"
"1A","05,0042","00 or 01","SET > Function > PTT Lock (00=OFF, 01=ON)"
"1A","05,0043","00 or 01","SET > Function > SPLIT > Quick SPLIT (00=OFF, 01=ON) ( Setting the [SPLIT] key operation when it is held down for 1 second.)"
"1A","05,0044","See p. 16","SET > Function > SPLIT > FM SPLIT Offset"
"1A","05,0045","00 or 01","SET > Function > SPLIT > SPLIT LOCK (00=OFF, 01=ON)"
"1A","05,0046","00 or 01","SET > Function > Auto Repeater ( 00=OFF, 01=ON (DUP,TONE) for USA version)"
"1A","05,0047","00 to 02","SET > Function > RTTY Mark Frequency (00=1275 Hz, 01=1615 Hz, 02=2125 Hz)"
"1A","05,0048","00 to 02","SET > Function > RTTY Shift Width (00=170 Hz, 01=200 Hz, 02=425 Hz)"
"1A","05,0049","00 or 01","SET > Function > RTTY Keying Polarity (00=Normal, 01=Reverse)"
"1A","05,0050","00 or 01","SET > Function > SPEECH > SPEECH Language"
"1A","05,0051","00 or 01","SET > Function > SPEECH > Alphabet (00=Normal, 01=Phonetic Code)"
"1A","05,0052","00 or 01","SET > Function > SPEECH > SPEECH Speed"
"1A","05,0053","00 to 02","SET > Function > SPEECH > RX Call Sign SPEECH"
"1A","05,0054","00 or 01","SET > Function > SPEECH > RX>CS SPEECH"
"1A","05,0055","00 or 01","SET > Function > SPEECH > S-Level SPEECH"
"1A","05,0056","00 or 01","SET > Function > SPEECH > MODE SPEECH"
"1A","05,0057","0000 ~ 0255","SET > Function > SPEECH > SPEECH Level (0000=0% to 0255=100%)"
"1A","05,0058","00 or 01","SET > Function > [SPEECH/LOCK] Switch (00=SPEECH/LOCK, 01=LOCK/SPEECH)"
"1A","05,0059","00 or 01","SET > Function > Lock Function (00=MAIN DIAL, 01=PANEL)"
"1A","05,0060","00 or 01","SET > Function > Memo Pad Quantity (00=5 ch, 01=10 ch)"
"1A","05,0061","00 to 02","SET > Function > MAIN DIAL Auto TS (00=OFF, 01=Low, 02=High)"
"1A","05,0062","00 or 01","SET > Function > MIC Up/Down Speed (00=Slow, 01=Fast)"
"1A","05,0063","00 or 01","SET > Function > AFC Limit (00=OFF, 01=ON)"
"1A","05,0064","00 to 02","SET > Function > [NOTCH] Switch (SSB) (00=Auto, 01=Manual, 02=Auto/Manual)"
"1A","05,0065","00 to 02","SET > Function > [NOTCH] Switch (AM) (00=Auto, 01=Manual, 02=Auto/Manual)"
"1A","05,0066","00 or 01","SET > Function > SSB/CW Synchronous Tuning"
"1A","05,0067","00 or 01","SET > Function > CW Normal Side (00=LSB, 01=USB)"
"1A","05,0068","00 or 01","SET > Function > Screen Keyboard Type (00=Ten-key, 01=Full Keyboard)"
"1A","05,0069","00 to 02","SET > Function > Screen Full Keyboard Layout"
"1A","05,0070","00 or 01","SET > Function > Screen Capture [POWER] Switch"
"1A","05,0071","00 or 01","SET > Function > Screen Capture File Type (00=PNG, 01=BMP)"
"1A","05,0072","0000 ~ 0255","SET > Function > REF Adjust (0000=0%, 0255=100%)"
"1A","05,0073","0000 ~ 0255","SET > Function > REF Adjust (FINE) (0000=0%, 0255=100%)"
"1A","05,0074","00 to 03","SET > DV/DD Set > Standby Beep ( 00=OFF, 01=ON, 02=ON (to me: High Tone), 03=ON (to me: Alarm/High Tone))"
"1A","05,0075","00 to 02","SET > DV/DD Set > Auto Reply (00=OFF, 01=ON, 02=Voice)"
"1A","05,0076","00 or 01","SET > DV/DD Set > DV Data TX ( 00=PTT 01=Auto)"
"1A","05,0077","00 or 01","SET > DV/DD Set > DV Fast Data > Fast Data (00=OFF, 01=ON)"
"1A","05,0078","00 or 01","SET > DV/DD Set > DV Fast Data > GPS Data Speed"
"1A","05,0079","00 to 10","SET > DV/DD Set > DV Fast Data > TX Delay (PTT)"
"1A","05,0080","00 to 02","SET > DV/DD Set > Digital Monitor (00=Auto, 01=Digital, 02=Analog)"
"1A","05,0081","00 or 01","SET > DV/DD Set > Digital Repeater Set (00=OFF, 01=ON)"
"1A","05,0082","00 or 01","SET > DV/DD Set > DV Auto Detect (00=OFF, 01=ON)"
"1A","05,0083","00 or 01","SET > DV/DD Set > RX Record (RPT) (00=ALL, 01=Latest Only)"
"1A","05,0084","00 or 01","SET > DV/DD Set > BK (00=OFF, 01=ON)"
"1A","05,0085","00 or 01","SET > DV/DD Set > EMR (00=OFF, 01=ON)"
"1A","05,0086","0000 ~ 0255","SET > DV/DD Set > EMR AF Level (0000=0%, 0255=100%)"
"1A","05,0087","00 or 01","SET > DV/DD Set > DD TX Inhibit (Power ON)"
"1A","05,0088","00 or 01","SET > DV/DD Set > DD Packet Output (00=Normal, 01=All)"
"1A","05,0089","00 or 01","SET > QSO/RX Log > QSO Log (00=OFF, 01=ON)"
"1A","05,0090","00 or 01","SET > QSO/RX Log > RX History Log (00=OFF, 01=ON)"
"1A","05,0091","00 to 02","SET > QSO/RX Log > CSV Format > Separator/Decimal"
"1A","05,0092","00 to 02","SET > QSO/RX Log > CSV Format > Date ( 00=“yyyy/mm/dd,” 01=“mm/dd/yyyy,” 02=“dd/mm/yyyy”)"
"1A","05,0093","00 or 01","SET > Connectors > External P.AMP > 144M (00=OFF, 01=ON)"
"1A","05,0094","00 or 01","SET > Connectors > External P.AMP > 430M (00=OFF, 01=ON)"
"1A","05,0095","00 or 01","SET > Connectors > External P.AMP > 1200M (00=OFF, 01=ON)"
"1A","05,0096","00 or 01","SET > Connectors > External Speaker Separate"
"1A","05,0097","00 to 30","SET > Connectors > Phones > Level (00=–15 dB to 30=+15 dB)"
"1A","05,0098","00 to 02","SET > Connectors > Phones > L/R Mix (00=Separate, 01=Mix, 02=Auto)"
"1A","05,0099","00 or 01","SET > Connectors > ACC AF/IF Output > AF/SQL Output Select"
"1A","05,0100","00 or 01","SET > Connectors > ACC AF/IF Output > Output Select"
"1A","05,0101","0000 ~ 0255","SET > Connectors > ACC AF/IF Output > AF Output Level"
"1A","05,0102","00 or 01","SET > Connectors > ACC AF/IF Output > AF SQL"
"1A","05,0103","00 or 01","SET > Connectors > ACC AF/IF Output > AF Beep/Speech... Output"
"1A","05,0104","0000 ~ 0255","SET > Connectors > ACC AF/IF Output > ACC IF Output Level"
"1A","05,0105","00 or 01","SET > Connectors > USB AF/IF Output > Output Select"
"1A","05,0106","0000 ~ 0255","SET > Connectors > USB AF/IF Output > AF Output Level"
"1A","05,0107","00 or 01","SET > Connectors > USB AF/IF Output > AF SQL"
"1A","05,0108","00 or 01","SET > Connectors > USB AF/IF Output > AF Beep/Speech... Output"
"1A","05,0109","0000 ~ 0255","SET > Connectors > USB AF/IF Output > IF Output Level"
"1A","05,0110","00 or 01","SET > Connectors > LAN AF/IF Output > Output Select"
"1A","05,0111","00 or 01","SET > Connectors > LAN AF/IF Output > AF SQL"
"1A","05,0112","0000 ~ 0255","SET > Connectors > MOD Input > ACC MOD Level"
"1A","05,0113","0000 ~ 0255","SET > Connectors > MOD Input > USB MOD Level"
"1A","05,0114","0000 ~ 0255","SET > Connectors > MOD Input > LAN MOD Level"
"1A","05,0115","00 ~ 05","SET > Connectors > MOD Input > DATA OFF MOD ( 00=MIC, 01=ACC, 02=MIC,ACC, 03=USB, 04=MIC,USB, 05=LAN)"
"1A","05,0116","00 ~ 05","SET > Connectors > MOD Input > DATA MOD ( 00=MIC, 01=ACC, 02=MIC,ACC, 03=USB, 04=MIC,USB, 05=LAN)"
"1A","05,0117","00 or 01","SET > Connectors > ACC SEND Output > 144M"
"1A","05,0118","00 or 01","SET > Connectors > ACC SEND Output > 430M"
"1A","05,0119","00 or 01","SET > Connectors > ACC SEND Output > 1200M"
"1A","05,0120","00 to 04","SET > Connectors > USB SEND/Keying > USB SEND"
"1A","05,0121","00 to 04","SET > Connectors > USB SEND/Keying > USB Keying (CW)"
"1A","05,0122","00 to 04","SET > Connectors > USB SEND/Keying > USB Keying (RTTY)"
"1A","05,0123","00 or 01","SET > Connectors > USB SEND/Keying > Inhibit Timer at USB connection"
"1A","05,0124","00 or 01","SET > Connectors > External Keypad > VOICE"
"1A","05,0125","00 or 01","SET > Connectors > External Keypad > KEYER"
"1A","05,0126","00 or 01","SET > Connectors > External Keypad > RTTY"
"1A","05,0127","00 or 01","SET > Connectors > CI-V > CI-V Transceive (00=OFF, 01=ON)"
"1A","05,0128","0000 ~ 0223","SET > Connectors > CI-V > CI-V USB/ LAN→REMOTE Transceive Address"
"1A","05,0129","00 or 01","SET > Connectors > CI-V > CI-V USB Port (00=Link to [REMOTE], 01=Unlink to [REMOTE])"
"1A","05,0130","00 or 01","SET > Connectors > CI-V > CI-V USB Echo Back"
"1A","05,0131","00 or 01","SET > Connectors > CI-V > CI-V DATA Echo Back"
"1A","05,0132","00 to 02","SET > Connectors > CI-V > USB (B)/DATA Function > USB (B) Function"
"1A","05,0133","00 to 04","SET > Connectors > CI-V > USB (B)/DATA Function > DATA Function"
"1A","05,0134","00 or 01","SET > Connectors > CI-V > USB (B)/DATA Function > GPS Out"
"1A","05,0135","00 or 01","SET > Connectors > CI-V > USB (B)/DATA Function >"
"1A","05,0136","00 to 03","SET > Connectors > CI-V > USB (B)/DATA Function >"
"1A","05,0137","00 or 01","SET > Network > DHCP (Valid after Restart) (00=OFF, 01=ON)"
"1A","05,0138","0000000000000001 ~ 0255025502550254","SET > Network > IP Address (Valid after Restart) (0000000000000001=0.0.0.1 to 0255025502550254=255.255.255.254) (Valid when the DHCP (Valid after Restart) is set to OFF)"
"1A","05,0139","0000000000000001 ~ 0255025502550254","SET > Network > DHCP (Read the IP address set by the DHCP server) (0000000000000001=0.0.0.1 to 0255025502550254=255.255.255.254) (When the DHCP setting (Valid after Restart) is set to OFF, the manually set IP address (static IP address) is returned)"
"1A","05,0140","01 ~ 30","SET > Network > Subnet Mask (Valid after Restart)"
"1A","05,0141","0000000000000001 ~ 0255025502550254, FF","SET > Network > Default Gateway (Valid after Restart) (0000000000000001=0.0.0.1 to 0255025502550254=255.255.255.254, FF=Blank) (Valid when the DHCP (Valid after Restart) setting is set to OFF)"
"1A","05,0142","0000000000000001 ~ 0255025502550254, FF","SET > Network > Primary DNS Server (Valid after Restart) (0000000000000001=0.0.0.1 to 0255025502550254=255.255.255.254, FF=Blank) (Valid when the DHCP (Valid after Restart) setting is set to OFF)"
"1A","05,0143","0000000000000001 ~ 0255025502550254, FF","SET > Network > 2nd DNS Server (Valid after Restart) (0000000000000001=0.0.0.1 to 0255025502550254=255.255.255.254, FF=Blank) (Valid when the DHCP (Valid after Restart) setting is set to OFF)"
"1A","05,0144","See p. 15","SET > Network > Network Name (Up to 15 characters)"
"1A","05,0145","00 or 01","SET > Network > Network Control (Valid after Restart)"
"1A","05,0146","00 or 01","SET > Network > Power OFF Setting (for Remote Control)"
"1A","05,0147","000001 ~ 065535","SET > Network > Control Port (UDP) (Valid after Restart) (000001=1 to 065535=65535)"
"1A","05,0148","000001 ~ 065535","SET > Network > Serial Port (UDP) (Valid after Restart) (000001=1 to 065535=65535)"
"1A","05,0149","000001 ~ 065535","SET > Network > Audio Port (UDP) (Valid after Restart) (000001=1 to 065535=65535)"
"1A","05,0150","00 or 01","SET > Network > Internet Access Line (Valid after Restart)"
"1A","05,0151","See p. 15","SET > Network > Network Radio Name (Up to 16 characters)"
"1A","05,0152","0000 ~ 0255","SET > Display > LCD Backlight (0000=0% to 0255=100%)"
"1A","05,0153","00 or 01","SET > Display > Display Type (00=A, 01=B)"
"1A","05,0154","00 or 01","SET > Display > Display Font (00=Basic, 01=Round)"
"1A","05,0155","00 or 01","SET > Display > Meter Peak Hold (Bar) (00=OFF, 01=ON)"
"1A","05,0156","00 or 01","SET > Display > Memory Name (00=OFF, 01=ON)"
"1A","05,0157","00 or 01","SET > Display > MN-Q Popup (MN OFF→ON)"
"1A","05,0158","00 or 01","SET > Display > BW Popup (PBT) (00=OFF, 01=ON)"
"1A","05,0159","00 or 01","SET > Display > BW Popup (FIL) (00=OFF, 01=ON)"
"1A","05,0160","00 to 03","SET > Display > RX Call Sign Display (00=OFF, 01=Normal, 02=RX Hold, 03=Hold)"
"1A","05,0161","00 or 01","SET > Display > RX Position Indicator (00=OFF, 01=ON)"
"1A","05,0162","00 to 02","SET > Display > RX Position Display ( 00=OFF, 01=ON (Main/Sub), 02=ON (Main Only))"
"1A","05,0163","00 to 04","SET > Display > RX Position Display Timer ( 00=5 sec, 01=10 sec, 02=15 sec, 03=30 sec, 04=Hold)"
"1A","05,0164","00 or 01","SET > Display > Reply Position Display (00=OFF, 01=ON)"
"1A","05,0165","00 to 02","SET > Display > TX Call Sign Display ( 00=OFF, 01=Your Call Sign, 02=My Call Sign)"
"1A","05,0166","00 or 01","SET > Display > Scroll Speed (00=Slow, 01=Fast)"
"1A","05,0167","00 to 03","SET > Display > Screen Saver ( 00=OFF, 01=15 min., 02=30 min., 03=60 min.)"
"1A","05,0168","00 or 01","SET > Display > Opening Message (00=OFF, 01=ON)"
"1A","05,0169","00 or 01","SET > Display > Power ON Check (00=OFF, 01=ON)"
"1A","05,0170","00 or 01","SET > Display > Display Unit > Latitude/Longitude"
"1A","05,0171","00 or 01","SET > Display > Display Unit > Altitude/Distance"
"1A","05,0172","00 to 02","SET > Display > Display Unit > Speed (00=km/h, 01=mph, 02=knots)"
"1A","05,0173","00 or 01","SET > Display > Display Unit > Temperature (00=ºC, 01=ºF)"
"1A","05,0174","00 to 03","SET > Display > Display Unit > Barometric (00=hPa, 01=mb, 02=mmHg, 03=inHg)"
"1A","05,0175","00 or 01","SET > Display > Display Unit > Rainfall (00=mm, 01=inch)"
