"Cmd.","Sub cmd.","Data","Description","Band"
"1A","05,0299","see p. 12","SCOPE > Fixed Edges > 1.60 – 2.00 No.4",""
"1A","05,0300","00 to 1850","GPS > GPS TX Mode > D-PRS > TX Format > Item > Speed (0 km/h to 1850 km/h)",""
"1A","05,0301","see p. 12","SCOPE > Fixed Edges > 6.00 – 8.00 No.4",""
"1A","05,0302","see p. 12","SCOPE > Fixed Edges > 8.00 – 11.00 No.4",""
"1A","05,0303","see p. 12","SCOPE > Fixed Edges > 11.00 – 15.00 No.4",""
"1A","05,0304","see p. 12","SCOPE > Fixed Edges > 15.00 – 20.00 No.4",""
"1A","05,0305","see p. 12","SCOPE > Fixed Edges > 20.00 – 22.00 No.4",""
"1A","05,0306","see p. 12","SCOPE > Fixed Edges > 22.00 – 26.00 No.4",""
"1A","05,0307","see p. 12","SCOPE > Fixed Edges > 26.00 – 30.00 No.4",""
"1A","05,0308","see p. 12","SCOPE > Fixed Edges > 30.00 – 45.00 No.4",""
"1A","05,0309","see p. 12","SCOPE > Fixed Edges > 45.00 – 60.00 No.4",""
"1A","05,0310","00 or 01","Send/read the IC-PW2 Dual Connection Mode setting (00=OFF, 01=ON)",""
"1A","05,0929","00 or 01","AF Mute (00=OFF, 01=ON)",""
"1A","05,0A29","00 or 01","Read the OVF indicator status (00=OFF, 01=ON)",""
"1A","06","See p. 17","DATA mode with filter set",""
"1A","07","See p. 18","Set the Satellite memory contents",""
"1A","08","00 or 01","NTP server access (00=Terminate, 01=Initiate)",""
"1A","09","00 to 02","Read NTP server access result (00=Accessing, or have not accessed after Power ON, 01=Succeeded, 02=Failed)",""
"1A","0A","00 or 01","Read the OVF indicator status (00=OFF, 01=ON)",""
"1B","00","See p. 19","Send/read the Repeater tone frequency","29"
"1B","01","See p. 19","Send/read the TSQL tone frequency","29"
"1B","02","See p. 19","Send/read the DTCS code and polarity","29"
"1B","07","See p. 19","Send/read the CSQL code (DV mode)","29"
"1C","00","00 or 01","Send/read the transceiver's status",""
"1C","01","00 ~ 02","Antenna tuner (00=OFF, 01=ON, 02=Tune)",""
"1C","02","00 or 01","Send/read the Transmit frequency monitor (00=OFF, 01=ON)",""
"1C","03","See p. 13","Read the transmit frequency",""
"1C","04","00 or 01","CI-V Output (for ANT) (00=OFF, 01=ON)",""
"1E","00","","Read number of available TX frequency band",""
"1E","01","See p. 13","Read TX band edge frequencies",""
"1E","02","","Read number of user-set TX frequency band",""
"1E","03","See p. 13","Set the user-set TX band edge frequencies",""
"1F","00","See p. 19","SET > My Station > My Call Sign (DV)",""
"1F","01","See p. 19","SET > Display > TX Call Sign Display",""
"1F","02","See p. 19","SET > My Station > TX Message (DV)",""
"20","00,00","00 or 01","Send/read the Auto DV RX Call signs output",""
"20","00,01","See p. 20","Output DV RX Call signs for transceive",""
"20","00,02","","",""
"20","01,00","00 or 01","Send/read the Auto DV RX message output",""
"20","01,01","See p. 20","Output DV RX message for transceive",""
"20","01,02","","",""
"20","02,00","00 or 01","Send/read the Auto DV RX status output",""
"20","02,01","See p. 20","Output DV RX status for transceive",""
"20","02,02","","",""
"20","03,00","00 or 01","Send/read the Auto DV RX GPS/D-PRS data",""
"20","03,01","See p. 22","Output DV RX GPS/D-PRS data for transceive",""
"20","03,02","","",""
"20","04,00","00 or 01","Send/read Auto DV RX",""
"20","04,01","See p. 22","Output DV RX D-PRS message for transceive",""
"20","04,02","","",""
"20","06,00","See p. 17","DATA mode with filter set",""
"20","07,00","See p. 18","Set the Satellite memory contents",""
"20","08,00","00 or 01","NTP server access (00=Terminate, 01=Initiate)",""
"21","00","See p. 23","RIT frequency",""
"21","01","00 or 01","RIT setting",""
"22","00","See p. 23","Set the DV TX data (Up to 30 byte)",""
"22","01,00","00 or 01","Set the Auto DV RX data output",""
"22","01,01","See p. 23","Set the DV RX data for transceive",""
"22","01,02","","",""
"22","02","00 or 01","SET > DV/DD Set > DV Data TX",""
"22","03","00 or 01","SET > DV/DD Set > DV Fast Data",""
"22","04","00 or 01","SET > DV/DD Set > DV Fast Data",""
"22","05","00 to 10","SET > DV/DD Set > DV Fast Data",""
"23","00","","",""
"23","01","00, 02, 03","GPS > GPS Set > GPS Select",""
"23","02","See p. 17","GPS > GPS Set > Manual Position",""
"24","00,00","00 or 01","Send/read TX output power setting",""
"24","00,01","00 or 01","Set the TX output power for transceive",""
"25","","See p. 23","Set the selected or unselected VFO frequency",""
"26","","See p. 23","Set the selected or unselected VFO's frequency band and mode",""
"27","00","See p. 24","Read the Scope waveform data",""
"27","01","00 or 01","Send/read the Scope Span setting",""
"27","02","00 or 01","Send/read the Scope Edge setting",""
"27","06","00 or 01","Send/read the Scope Span setting in the Center mode Scope",""
"27","07","","Set the Satellite memory contents",""
"27","08","00 or 01","Send/read the Scope edge frequency setting",""
"27","10","00 or 01","Send/read the Scope ON/OFF status",""
"27","11","00 or 01","Send/read the Scope wave data output (00=OFF, 01=ON)",""
"27","12","00 or 01","Send/read the Scope Center frequency setting",""
"27","13","00 to 02","Send/read the Scope screen type (00=Center, 01=Fixed, 02=Scroll)",""
"27","14","See p. 24","Send/read the Scope Center mode or Fixed mode",""
"27","15","See p. 24","Send/read the Span setting in the Center mode Scope",""
"27","16","See p. 24","Send/read the Edge number setting in the Fixed mode Scope",""
"27","17","See p. 24","Send/read the Scope hold function ON/OFF status",""
"27","19","See p. 24","Send/read the Scope Reference level setting",""
"27","1A","See p. 25","Send/read the Sweep speed setting",""
"27","1B","00 or 01","SCOPE > Scope during Tx (CENTER TYPE) (00=OFF, 01=ON)",""
"27","1C","00 to 02","SCOPE > CENTER Type Display (00=Filter center, 01=Carrier point center, 02=Carrier point center (Abs. Freq.))",""
"27","1D","See p. 16","Send/read the Scope VBW setting",""
"27","1E","See p. 25","Send/read the Scope Fixed edge frequencies",""
"28","00","00 to 08","Voice TX Memory (00=Stop, 01=T1 to 08=T8)",""
"29","00 or 01","","Specify the Main or Sub band before entering the supported commands (00=MAIN, 01=SUB)",""
