"Cmd.","Sub cmd.","Data","Description","Band"
"1A","05,0111","00 or 01","Connectors > USB DIAL > USB DIAL [TRANSMIT] Switch (00=Push to toggle, 01=Hold down to transmit)",""
"1A","05,0112","00 or 01","Connectors > CI-V > CI-V Transceive (00=OFF, 01=ON)",""
"1A","05,0113","00 00 ~ 02 23","Connectors > CI-V > CI-V USB/ LAN→REMOTE Transceive Address (00 00=00h ~ 02 23=DFh) (in Hexadecimal)",""
"1A","05,0114","00 or 01","Connectors > CI-V > CI-V Output (for ANT) (00=OFF, 01=ON)",""
"1A","05,0116","00 or 01","Connectors > CI-V > CI-V USB Echo Back (00=OFF, 01=ON)",""
"1A","05,0117","00 ~ 07","Connectors > External Meter > External Meter Output (MAIN) ( 00=Auto, 01=S (main), 02=Po, 03=SWR, 04=ALC, 05=COMP, 06=Vd, 07=Id)",""
"1A","05,0118","00 ~ 07","Connectors > External Meter > External Meter Output (SUB) ( 00=Auto, 01=S (sub), 02=Po, 03=SWR, 04=ALC, 05=COMP, 06=Vd, 07=Id)",""
"1A","05,0119","00 00 ~ 02 55","Connectors > External Meter > External Meter Level (MAIN) (00 00=0% ~ 02 55=100%)",""
"1A","05,0120","00 00 ~ 02 55","Connectors > External Meter > External Meter Level (SUB) (00 00=0% ~ 02 55=100%)",""
"1A","05,0121","00 ~ 03","Connectors > Decode Baud Rate ( 00=4800 bps, 01=9600 bps, 02=19200 bps, 03=38400 bps)",""
"1A","05,0122","00 or 01","Connectors > SEND Relay Type (00=Reed, 01=MOS-FET)",""
"1A","05,0123","00 ~ 02","Connectors > ACC BAND Voltage Output (00=MAIN, 01=SUB, 02=TX)",""
"1A","05,0124","00 or 01","Connectors > MIC Input DC Bias (00=OFF, 01=ON)",""
"1A","05,0125","00 or 01","Connectors > REF IN (00=IN, 01=OFF)",""
"1A","05,0126","00 or 01","Network > DHCP (valid after restart) (00=OFF, 01=ON)",""
"1A","05,0127","00 00 ~ 02 55","Network > IP Address (valid after restart) (00 00 00 00 00 00 00 01=0.0.0.1 ~ 02 55 02 55 02 55 02 54=255.255.255.254) (Valid when the DHCP (valid after restart) is set to OFF.)",""
"1A","05,0129","00 or 01","Connectors > CI-V > CI-V USB Port (00=Link to [REMOTE], 01=Unlink to [REMOTE])",""
"1A","05,0130","00 00 00 00 ~ 02 55 02 55 02 54, FF","Network > Default Gateway (valid after restart) (00 00 00 00 00 00 00 01=0.0.0.1 ~ 02 55 02 55 02 55 02 54=255.255.255.254, FF=Blank) (Valid when the DHCP (valid after restart) is set to OFF.)",""
"1A","05,0131","00 00 00 00 ~ 02 55 02 55 02 54, FF","Network > Primary DNS Server (valid after restart) (00 00 00 00 00 00 00 01=0.0.0.1 ~ 02 55 02 55 02 55 02 54=255.255.255.254, FF=Blank) (Valid when the DHCP (valid after restart) is set to OFF.)",""
"1A","05,0132","00 00 00 00 ~ 02 55 02 55 02 54, FF","Network > 2nd DNS Server (valid after restart) (00 00 00 00 00 00 00 01=0.0.0.1 ~ 02 55 02 55 02 55 02 54=255.255.255.254, FF=Blank) (Valid when the DHCP (valid after restart) is set to OFF.)",""
